check_id,check_name,status,notes
H8-01,old evaluate_factors_dynamic_universe.py audited,PASS,exists but stale: imports missing evaluate_factors.py
H8-02,old factor_eval_dynamic_summary outputs checked,PASS,exists but only 9 factors; stale; non-reproducible
H8-03,old evaluator usability recorded,PASS,NOT USABLE - documented in FACTOR_LEVEL_IC_AUDIT.md
H8-04,scripts/evaluate_factors.py exists,PASS,291 lines created in H8
H8-05,evaluator uses current labels,PASS,labels.parquet from current dataset
H8-06,evaluator uses current factor values,PASS,factor_values.parquet from current dataset
H8-07,evaluator uses equivalent RankIC method,PASS,Spearman: rank per timestamp + Pearson of ranks; matches compute_rank_ic output
H8-08,factor-level IC computed for all available factor_values,PASS,47/47 computed
H8-09,missing factors explicitly marked,PASS,6 MISSING_FACTOR_VALUES (taker+funding)
H8-10,direction-adjusted IC computed,PASS,positive→raw negative→-raw conditional→DIRECTION_UNKNOWN
H8-11,factor_level_rankic_summary.csv created,PASS,212 rows (53 factors x 4 horizons)
H8-12,factor_level_coverage_summary.csv created,PASS,53 rows
H8-13,manifest created,PASS,factor_level_evaluation_manifest.json
H8-14,factor_evaluation.json updated,PASS,includes manifest and data source
H8-15,factor-evaluation.html updated,PASS,shows real IC values not NOT_COMPUTED
H8-16,actual-script-map.html updated,PASS,evaluate_factors.py added as Factor-Level Evaluation stage
H8-17,signal-evaluation-summary remains signal-level only,PASS,only reference line added
H8-18,FACTOR_LEVEL_IC_AUDIT.md created,PASS,docs/refactor/
H8-19,no signal panel modified,PASS,
H8-20,no labels modified,PASS,
H8-21,no factor values modified,PASS,
H8-22,no new factors added,PASS,
H8-23,no research conclusion changed without evidence,PASS,
H8-24,Phase 13 NOT STARTED,PASS,
H8-25,no real execution,PASS,
H8-26,no production claim,PASS,
H8-27,no alpha claim,PASS,
