check_id,check_name,status,notes
H6S-01,index.html has only 2 entry cards,PASS,actual-script-map + signal-evaluation-summary
H6S-02,21 pages moved to _archive/,PASS,git mv to reports/site/factor-library/_archive/
H6S-03,actual-script-map.html preserved,PASS,
H6S-04,signal-evaluation-summary.html preserved,PASS,IC/RankIC/Spread/t-stat/Consistency/conclusion
H6S-05,nav bar simplified on actual-script-map.html,PASS,footer: 首页 / 因子评价结果
H6S-06,nav bar simplified on signal-evaluation-summary.html,PASS,footer: 首页 / 代码结构
H6S-07,index.html nav bar clean,PASS,no links to archived pages
H6S-08,no research outputs deleted,PASS,only HTML pages moved
H6S-09,no Python code changed,PASS,
H6S-10,no research conclusions changed,PASS,
H6S-11,Phase 13 not started,PASS,
H6S-12,no production/trading content,PASS,
H6S-13,disclaimer present on index.html,PASS,
H6S-14,archive pages still accessible via direct URL,PASS,_archive/ prefix not blocked
