check_id,check_name,status,notes
H5R-01,non-mainline script section removed,PASS,no canary/NOT_FACTOR_LIBRARY_MAINLINE
H5R-02,canary32b references removed,PASS,
H5R-03,"研究运行账本" renamed to "因子库计算产物",PASS,
H5R-04,tree diagram exists,PASS,monospace tree with 9 layers
H5R-05,tree has directory structure,PASS,
H5R-06,tree has execution order,PASS,top-to-bottom = execution order
H5R-07,tree has extension points,PASS,★ markers for 4 extension types
H5R-08,active entrypoint shown,PASS,scripts/evaluate_signals.py
H5R-09,archive note for Phase 10,PASS,warn box
H5R-10,extension points table,PASS,4 rows with location + notes
H5R-11,JSON synced,PASS,mainline_tree + extension_points + current_outputs
H5R-12,MD synced,PASS,tree + extension + conclusion
H5R-13,disclaimer present,PASS,
H5R-14,Phase 13 NOT STARTED,PASS,
H5R-15,no research changes,PASS,
H5R-16,no code changes,PASS,
H5R-17,single-scope statement,PASS,本页只解释因子库主链路
