check_id,check_name,status,notes
H2T-01,quantile_spread.py has mode parameter,PASS,mode="standard" or "legacy_phase10a"
H2T-02,legacy_phase10a algorithm matches old script,PASS,sort + head/tail with quantile_frac=0.20
H2T-03,min_cross_section=10 in legacy mode,PASS,
H2T-04,n_q=max(int(n*quantile_frac),1) in legacy mode,PASS,
H2T-05,invalid mode raises ValueError,PASS,test verified
H2T-06,rank_head_tail alias works,PASS,test verified
H2T-07,qcut alias works,PASS,test verified
H2T-08,parity harness uses legacy_phase10a for old comparisons,PASS,mode="legacy_phase10a" in harness
H2T-09,parity harness also runs standard mode for reference,PASS,spread_standard output
H2T-10,H3 gate uses OPEN_FULL_WRAPPER for exact legacy spread,PASS,
H2T-11,H3 gate uses OPEN_STANDARD_V2_ONLY for behavioral,PASS,
H2T-12,H3 gate uses BLOCKED for investigate,PASS,
H2T-13,legacy spread tolerance stricter than H2-S,PASS,0.5e-6 (was 2e-3)
H2T-14,n_periods exact match required,PASS,tolerance=0
H2T-15,old scripts not modified,PASS,
H2T-16,old outputs not modified,PASS,
H2T-17,signal panel not modified,PASS,
H2T-18,labels not modified,PASS,
H2T-19,25 unit tests pass,PASS,
H2T-20,Phase 13 NOT STARTED,PASS,
H2T-21,no real execution,PASS,
H2T-22,no alpha claim,PASS,
H2T-23,no production claim,PASS,
