check_id,check_name,expected,actual,status,notes
QC-01,actual-script-map.html exists,True,True,PASS,reports/site/factor-library/actual-script-map.html
QC-02,actual_script_map.json exists,True,True,PASS,reports/site/factor-library/assets/actual_script_map.json
QC-03,actual_script_map.md exists,True,True,PASS,docs/factor_library_transparency/actual_script_map.md
QC-04,index.html links to actual-script-map.html,True,True,PASS,nav-grid includes actual-script-map.html link
QC-05,repository-map.html no color labels in data flow,True,True,PASS,labels moved to separate File Label Legend section
QC-06,pipeline-layers.html scripts-driven statement,True,True,PASS,architecture box added with scripts-driven explanation
QC-07,research/factor_runs described as audit archive,True,True,PASS,both repo-map and pipeline-layers updated
QC-08,src/momentum described as reusable component lib,True,True,PASS,both repo-map and pipeline-layers updated
QC-09,actual script map lists Phase 9B script,True,True,PASS,build_phase9b_signal_panel.py listed
QC-10,actual script map lists Phase 10 scripts,True,True,PASS,run_phase10a/b/d_*.py listed
QC-11,actual script map lists Phase 11 scripts,True,True,PASS,run_phase11a/b_*.py listed
QC-12,actual script map lists Phase 12 scripts,True,True,PASS,run_phase12a/b_*.py listed
QC-13,no fabricated scripts,True,True,PASS,all scripts verified to exist in scripts/ directory
QC-14,Phase 13 NOT STARTED,True,True,PASS,no Phase 13 content in any deliverable
QC-15,no real execution,True,True,PASS,no exchange API calls or order placement
QC-16,no alpha claim,True,True,PASS,explicit disclaimers in all pages
QC-17,no production claim,True,True,PASS,explicit disclaimers in all pages
QC-18,no research results changed,True,True,PASS,only HTML/docs/JSON files modified
QC-19,data-lineage.html updated,True,True,PASS,architecture statement and footer updated
QC-20,PHASE_12D_B_R_ACTUAL_CODE_STRUCTURE_REPAIR.md exists,True,True,PASS,phase closeout document created
