check_id,check_name,status,notes
H6-01,real diagram exists,PASS,inline SVG + JS interactive diagram
H6-02,not plain text fake tree,PASS,SVG rect + text + line elements with JS click handlers
H6-03,diagram shows directory structure,PASS,each node shows dir in detail panel
H6-04,diagram shows script structure,PASS,each node lists scripts in detail panel
H6-05,diagram shows execution order,PASS,arrows between nodes (top to bottom)
H6-06,diagram shows extension points,PASS,3 green-marked nodes (factors/信号/评价) + 1 orange (cost/paper)
H6-07,factor insertion point shown,PASS,node 4 ★ extension
H6-08,signal insertion point shown,PASS,node 5 ★ extension
H6-09,evaluation insertion point shown,PASS,node 6 ★ extension
H6-10,canary/non-mainline removed,PASS,section 12 deleted
H6-11,"研究运行账本" renamed,PASS,"因子库计算产物" in section 11
H6-12,no new page created,PASS,only actual-script-map.html modified
H6-13,no research outputs modified,PASS,
H6-14,Phase 13 not started,PASS,
H6-15,no real execution,PASS,
H6-16,no production claim,PASS,
H6-17,color coding legend,PASS,4-color legend (blue/green/orange/gray)
H6-18,click to expand details,PASS,JS click handler on each node-group
H6-19,JSON synced,PASS,diagram + modules + extension_points
H6-20,MD synced,PASS,structure diagram description + extension points
