check_id,check_name,status,notes
F01,factor-performance-map.html exists,PASS,
F02,signal-evaluation-summary.html exists,PASS,
F03,trust-metrics-checklist.html exists,PASS,
F04,factor_performance_map.json exists,PASS,
F05,signal_evaluation_summary.json exists,PASS,
F06,trust_metrics_checklist.json exists,PASS,
F07,factor_performance_map.md exists,PASS,
F08,signal_evaluation_summary.md exists,PASS,
F09,trust_metrics_checklist.md exists,PASS,
F10,IC/RankIC/ICIR definitions included,PASS,factor-performance-map.html
F11,factor-level NOT_COMPUTED marked,PASS,factor_performance_map.json
F12,no fabricated IC/IR,PASS,
F13,signal evaluation summarized,PASS,signal-evaluation-summary.html
F14,signal variants summarized,PASS,3 variants
F15,trust gates listed,PASS,6 categories
F16,no real execution,PASS,
F17,no alpha claim,PASS,
F18,no production claim,PASS,
F19,phase13 not started,PASS,
F20,index.html links to new pages,PASS,3 nav cards added
