factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha34,wq101,conditional,factor_registry,1h,0.01523353,0.01523353,18.3351,17801,185.7,3305949,0.000429,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#34: rank((1-rank(std(returns,2)/std(returns,5)))+(1-rank(delta(close,1)))); panel rank semantics preserved"
wq101_alpha34,wq101,conditional,factor_registry,4h,0.01336619,0.01336619,15.9311,17799,185.7,3305949,0.000429,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#34: rank((1-rank(std(returns,2)/std(returns,5)))+(1-rank(delta(close,1)))); panel rank semantics preserved"
wq101_alpha34,wq101,conditional,factor_registry,24h,0.00614263,0.00614263,7.3134,17779,185.7,3305949,0.000429,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#34: rank((1-rank(std(returns,2)/std(returns,5)))+(1-rank(delta(close,1)))); panel rank semantics preserved"
wq101_alpha34,wq101,conditional,factor_registry,72h,0.00266029,0.00266029,3.2483,17731,185.7,3305949,0.000429,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#34: rank((1-rank(std(returns,2)/std(returns,5)))+(1-rank(delta(close,1)))); panel rank semantics preserved"
wq101_alpha40,wq101,conditional,factor_registry,1h,0.01276125,0.01276125,15.5563,17797,185.7,3304930,0.000737,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#40: -rank(stddev(high,10))*correlation(high,volume,10); rank is cross-sectional per timestamp"
wq101_alpha40,wq101,conditional,factor_registry,4h,0.02161573,0.02161573,25.6442,17795,185.7,3304930,0.000737,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#40: -rank(stddev(high,10))*correlation(high,volume,10); rank is cross-sectional per timestamp"
wq101_alpha40,wq101,conditional,factor_registry,24h,0.02541966,0.02541966,29.3622,17775,185.7,3304930,0.000737,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#40: -rank(stddev(high,10))*correlation(high,volume,10); rank is cross-sectional per timestamp"
wq101_alpha40,wq101,conditional,factor_registry,72h,0.01906546,0.01906546,22.6939,17727,185.7,3304930,0.000737,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#40: -rank(stddev(high,10))*correlation(high,volume,10); rank is cross-sectional per timestamp"
wq101_alpha42,wq101,conditional,factor_registry,1h,0.00927504,0.00927504,8.6748,17805,185.7,3307213,4.7e-05,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#42: rank(vwap-close)/rank(vwap+close); vwap derived as quote_volume/volume; panel rank semantics preserved
wq101_alpha42,wq101,conditional,factor_registry,4h,0.00153573,0.00153573,1.4181,17803,185.7,3307213,4.7e-05,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#42: rank(vwap-close)/rank(vwap+close); vwap derived as quote_volume/volume; panel rank semantics preserved
