factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_kmid_open,alpha158_kbar,positive,1h,-0.03655527,-0.03655527,0.15871176,0.15871176,-0.230325,-0.230325,-0.230325,-30.7335,0.3926,0.3926,17805,186.2,3316259,0.0,False,COMPUTED,Alpha158 KMID: (close - open) / open; 1h candle body return normalized by open,open|close,1,Alpha158 KMID: (close - open) / open; 1h candle body return normalized by open,-2.076e-05,9.2e-05,-0.00011276,-2.7645,0.4722,0.00027752,-1.03411075,0.00096135,-0.00331243,0.28,25,per_bar_mean_x_bars_per_year
q158_kmid_open,alpha158_kbar,positive,4h,-0.02817553,-0.02817553,0.157015,0.157015,-0.179445,-0.179445,-0.179445,-23.9429,0.4205,0.4205,17803,186.2,3316259,0.0,False,COMPUTED,Alpha158 KMID: (close - open) / open; 1h candle body return normalized by open,open|close,1,Alpha158 KMID: (close - open) / open; 1h candle body return normalized by open,0.00010448,0.00015104,-4.656e-05,-0.5935,0.486,0.00067832,-0.10647993,0.00234977,-0.00300917,0.44,25,per_bar_mean_x_bars_per_year
q158_kmid_open,alpha158_kbar,positive,24h,-0.01195088,-0.01195088,0.15334583,0.15334583,-0.077934,-0.077934,-0.077934,-10.3927,0.4645,0.4645,17783,186.2,3316259,0.0,False,COMPUTED,Alpha158 KMID: (close - open) / open; 1h candle body return normalized by open,open|close,1,Alpha158 KMID: (close - open) / open; 1h candle body return normalized by open,0.00072056,0.0004156,0.00030496,1.5978,0.4949,0.00131565,0.14678176,0.00455755,-0.00286749,0.56,25,per_bar_mean_x_bars_per_year
q158_kmid_open,alpha158_kbar,positive,72h,-0.00454884,-0.00454884,0.14648534,0.14648534,-0.031053,-0.031053,-0.031053,-4.1354,0.4865,0.4865,17735,186.2,3316259,0.0,False,COMPUTED,Alpha158 KMID: (close - open) / open; 1h candle body return normalized by open,open|close,1,Alpha158 KMID: (close - open) / open; 1h candle body return normalized by open,0.00222851,0.00082961,0.00139889,3.8874,0.5022,0.00321693,0.17934162,0.01114379,-0.00347896,0.64,25,per_bar_mean_x_bars_per_year
q158_kmid_range,alpha158_kbar,positive,1h,-0.03113159,-0.03113159,0.12706494,0.12706494,-0.245005,-0.245005,-0.245005,-32.6924,0.388,0.388,17805,186.2,3316259,0.0,False,COMPUTED,Alpha158 KMID2: (close - open) / (high - low + eps); signed candle body normalized by range,open|high|low|close,1,Alpha158 KMID2: (close - open) / (high - low + eps); signed candle body normalized by range,-5.585e-05,7.619e-05,-0.00013204,-3.9268,0.4681,0.00022316,-1.17009294,0.00077306,-0.00370324,0.24,25,per_bar_mean_x_bars_per_year
q158_kmid_range,alpha158_kbar,positive,4h,-0.02280385,-0.02280385,0.12622353,0.12622353,-0.180662,-0.180662,-0.180662,-24.1054,0.424,0.424,17803,186.2,3316259,0.0,False,COMPUTED,Alpha158 KMID2: (close - open) / (high - low + eps); signed candle body normalized by range,open|high|low|close,1,Alpha158 KMID2: (close - open) / (high - low + eps); signed candle body normalized by range,7.366e-05,3.226e-05,4.139e-05,0.6163,0.4926,0.00055415,0.09153785,0.00191963,-0.00137388,0.48,25,per_bar_mean_x_bars_per_year
q158_kmid_range,alpha158_kbar,positive,24h,-0.01000699,-0.01000699,0.12305376,0.12305376,-0.081322,-0.081322,-0.081322,-10.8445,0.4668,0.4668,17783,186.2,3316259,0.0,False,COMPUTED,Alpha158 KMID2: (close - open) / (high - low + eps); signed candle body normalized by range,open|high|low|close,1,Alpha158 KMID2: (close - open) / (high - low + eps); signed candle body normalized by range,0.00041764,0.00015142,0.00026622,1.6142,0.5001,0.00128793,0.13793352,0.00446153,-0.00288026,0.56,25,per_bar_mean_x_bars_per_year
q158_kmid_range,alpha158_kbar,positive,72h,-0.00407237,-0.00407237,0.11796354,0.11796354,-0.034522,-0.034522,-0.034522,-4.5974,0.4837,0.4837,17735,186.2,3316259,0.0,False,COMPUTED,Alpha158 KMID2: (close - open) / (high - low + eps); signed candle body normalized by range,open|high|low|close,1,Alpha158 KMID2: (close - open) / (high - low + eps); signed candle body normalized by range,0.00106938,1.601e-05,0.00105337,3.3931,0.5058,0.00266081,0.15104604,0.00921733,-0.00438572,0.64,25,per_bar_mean_x_bars_per_year
q158_kup_range,alpha158_kbar,negative,1h,0.01002701,-0.01002701,0.1117921,0.1117921,0.089693,-0.089693,0.089693,11.9683,0.542,0.458,17805,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KUP2: (high - max(open, close)) / (high - low + eps); upper shadow normalized by range",open|high|low|close,1,"Alpha158 KUP2: (high - max(open, close)) / (high - low + eps); upper shadow normalized by range",-8.184e-05,7.601e-05,-0.00015786,-5.3991,0.4764,0.00022156,-1.387123,0.00076751,-0.00361676,0.2,25,per_bar_mean_x_bars_per_year
q158_kup_range,alpha158_kbar,negative,4h,0.00356373,-0.00356373,0.11093747,0.11093747,0.032124,-0.032124,0.032124,4.2862,0.5181,0.4819,17803,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KUP2: (high - max(open, close)) / (high - low + eps); upper shadow normalized by range",open|high|low|close,1,"Alpha158 KUP2: (high - max(open, close)) / (high - low + eps); upper shadow normalized by range",-0.00012606,0.00013045,-0.00025651,-4.3708,0.4843,0.00035669,-0.5338067,0.00123561,-0.005743,0.28,25,per_bar_mean_x_bars_per_year
q158_kup_range,alpha158_kbar,negative,24h,-0.0055991,0.0055991,0.1107104,0.1107104,-0.050574,0.050574,-0.050574,-6.7442,0.4761,0.5239,17783,186.2,3316259,0.0,False,COMPUTED,"Alpha158 KUP2: (high - max(open, close)) / (high - low + eps); upper shadow normalized by range",open|high|low|close,1,"Alpha158 KUP2: (high - max(open, close)) / (high - low + eps); upper shadow normalized by range",5.083e-05,0.00020069,-0.00014986,-0.9944,0.5029,0.00118302,-0.07967442,0.00409811,-0.00982859,0.52,25,per_bar_mean_x_bars_per_year
