factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha1,wq101,conditional,factor_registry,1h,0.01228229,0.01228229,15.5912,17785,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved"
wq101_alpha1,wq101,conditional,factor_registry,4h,0.01331451,0.01331451,16.9762,17783,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved"
wq101_alpha1,wq101,conditional,factor_registry,24h,0.00484306,0.00484306,6.1891,17763,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved"
wq101_alpha1,wq101,conditional,factor_registry,72h,0.00095352,0.00095352,1.2306,17715,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved"
wq101_alpha2,wq101,conditional,factor_registry,1h,0.01223825,0.01223825,19.8301,17791,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved"
wq101_alpha2,wq101,conditional,factor_registry,4h,0.01494027,0.01494027,24.0477,17789,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved"
wq101_alpha2,wq101,conditional,factor_registry,24h,0.01352336,0.01352336,21.8378,17769,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved"
wq101_alpha2,wq101,conditional,factor_registry,72h,0.01167188,0.01167188,19.0183,17721,185.7,3304472,0.003312,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved"
wq101_alpha3,wq101,conditional,factor_registry,1h,0.0026854,0.0026854,3.9567,17797,147.5,2625671,0.20805,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved"
wq101_alpha3,wq101,conditional,factor_registry,4h,0.00667025,0.00667025,9.7791,17795,147.5,2625671,0.20805,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved"
wq101_alpha3,wq101,conditional,factor_registry,24h,0.01016261,0.01016261,14.7001,17775,147.5,2625671,0.20805,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved"
wq101_alpha3,wq101,conditional,factor_registry,72h,0.00987677,0.00987677,14.3349,17727,147.5,2625671,0.20805,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved"
wq101_alpha4,wq101,conditional,factor_registry,1h,0.00887912,0.00887912,12.1784,17798,186.2,3314107,0.000406,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol"
wq101_alpha4,wq101,conditional,factor_registry,4h,0.01106855,0.01106855,15.1307,17796,186.2,3314107,0.000406,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol"
wq101_alpha4,wq101,conditional,factor_registry,24h,0.01027132,0.01027132,13.945,17776,186.2,3314107,0.000406,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol"
wq101_alpha4,wq101,conditional,factor_registry,72h,0.00558343,0.00558343,7.7695,17728,186.2,3314107,0.000406,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol"
wq101_alpha5,wq101,conditional,factor_registry,1h,0.02051444,0.02051444,23.235,17796,185.7,3304792,0.003215,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#5: rank(open-mean(vwap,10)) * -abs(rank(close-vwap)); VWAP derived from quote_volume/volume"
