factor_id,family,expected_direction,formula_proxy,required_columns,lookback_window,data_availability,coverage,missing_rate,best_horizon,best_adj_ic,best_adj_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,ic_win_rate,monthly_stability_summary,quantile_monotonicity_summary,rankic_longshort_consistency,redundancy_level,nearest_existing_factors,decision_bucket,recommended_action,caveats
wq101_alpha1,wq101,conditional,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved",close,25,EXISTS,3310109,0.001612,4h,0.01331451,0.127303,72h,-0.00125896,-4.4749,0.5543,STABLE (24/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha2,wq101,conditional,"WorldQuant 101 Alpha#2: -correlation(rank(delta(log(volume),2)), rank((close-open)/open), 6); panel rank semantics preserved",open|close|volume,8,EXISTS,3304472,0.003312,4h,0.01494027,0.180301,72h,-0.00020076,-0.8166,0.5791,STABLE (24/25 months positive),NON_MONOTONIC (2 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha3,wq101,conditional,"WorldQuant 101 Alpha#3: -correlation(rank(open), rank(volume), 10); panel rank semantics preserved",open|volume,10,EXISTS,2625671,0.20805,24h,0.01016261,0.110259,72h,-0.00042246,-1.6572,0.555,STABLE (20/25 months positive),NEARLY_MONOTONIC,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha4,wq101,conditional,"WorldQuant 101 Alpha#4: -ts_rank(rank(low), 9); rank is cross-sectional, ts_rank is per symbol",low,9,EXISTS,3314107,0.000406,4h,0.01106855,0.113422,72h,-0.00212431,-7.132,0.5474,STABLE (24/25 months positive),NON_MONOTONIC (2 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha5,wq101,conditional,"WorldQuant 101 Alpha#5: rank(open-mean(vwap,10)) * -abs(rank(close-vwap)); VWAP derived from quote_volume/volume",open|close|volume|quote_volume,10,EXISTS,3304792,0.003215,1h,0.02051444,0.174173,24h,-0.00024555,-1.5396,0.5773,STABLE (25/25 months positive),MONOTONIC_INCREASING,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha7,wq101,conditional,"WorldQuant 101 Alpha#7: if adv20 < volume then -ts_rank(abs(delta(close,7)),60)*sign(delta(close,7)) else -1",close|volume,67,EXISTS,3306608,0.002668,24h,0.00221838,0.02136,72h,-0.00046293,-1.6469,0.5058,MODERATE (15/25 months positive),NEARLY_MONOTONIC,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha8,wq101,conditional,"WorldQuant 101 Alpha#8: -rank(sum(open,5)*sum(returns,5)-delay(sum(open,5)*sum(returns,5),10)); panel rank semantics preserved",open|close,15,EXISTS,3312224,0.000974,1h,0.01030839,0.088765,72h,-0.00059529,-1.9414,0.5397,STABLE (24/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha10,wq101,conditional,WorldQuant 101 Alpha#10: rank(conditional signed close delta over rolling four-bar delta extrema),close,5,EXISTS,3315183,8.1e-05,1h,0.01190215,0.107507,4h,6.876e-05,1.1554,0.5486,STABLE (23/25 months positive),NEARLY_MONOTONIC,CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha11,wq101,conditional,"WorldQuant 101 Alpha#11: (rank(ts_max(vwap-close,3))+rank(ts_min(vwap-close,3)))*rank(delta(volume,3))",close|volume|quote_volume,4,EXISTS,3306162,0.002802,24h,0.00709056,0.057913,72h,-0.00041674,-1.3592,0.5283,STABLE (23/25 months positive),NEARLY_MONOTONIC,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha13,wq101,conditional,"WorldQuant 101 Alpha#13: -rank(covariance(rank(close), rank(volume), 5)); panel rank semantics preserved",close|volume,5,EXISTS,3315183,8.1e-05,24h,0.01724056,0.205364,72h,-0.00113298,-3.8817,0.589,STABLE (25/25 months positive),NEARLY_MONOTONIC,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
