candidate_factor_id,candidate_family,candidate_theme,formula_sketch,required_inputs,available_inputs_check,operator_reuse_plan,requires_new_operator,requires_new_data,expected_direction,expected_direction_basis,likely_existing_cluster_overlap,likely_redundancy_risk,expected_diagnostic_value,expected_failure_mode,implementation_complexity,intake_priority,suggested_batch,review_notes_zh,review_notes_en
rev_2h,short_term_reversal,2-hour reversal signal filling gap between 1h and 3h lookbacks,"-(close / delay(close, 2) - 1)",close,PASS — close available in standard OHLCV cache,delay() from factor_ops,NO,NO,positive,Short-term mean reversion: recent losers rebound within 2h in crypto microstructure,LOW — gap between rev_1h (cluster 0) and rev_3h (cluster 1 singleton),LOW,HIGH — tests granularity of short-term reversal curve; incremental signal vs 1h/3h,May be too correlated with rev_1h or rev_3h if reversal is smooth,LOW,P1_CONTROLLED_BATCH,BATCH_01_CONTROLLED_INTAKE,填补1h与3h反转信号之间的空白，用于测试短期反转曲线粒度,Fills gap between 1h and 3h reversal; tests granularity of short-term reversal curve
rev_48h,short_term_reversal,48-hour reversal signal bridging short and medium horizon,"-(close / delay(close, 48) - 1)",close,PASS — close available,delay() from factor_ops,NO,NO,positive,Medium-term mean reversion after 2-day overextension,"MEDIUM — near rev_24h and rev_72h, may cluster with medium-term reversal family",MEDIUM,MEDIUM — fills 24h-72h gap but risk of high correlation with neighbors,High correlation with rev_24h or rev_72h; marginal information may be near-zero,LOW,P2_BACKLOG,BATCH_02_BACKLOG,填补24h-72h反转信号空白，但与相邻因子高度相关的风险较高,Fills 24h-72h gap but high correlation risk with neighboring reversals
mom_vol_adjusted_20h,medium_term_momentum,Risk-adjusted momentum normalizing by realized volatility,"mom_20h / rolling_std(pct_change(close), 20)",close,PASS — close available,"rolling_std(), delay() from factor_ops; compute mom_20h inline",NO,NO,positive,Risk-adjusted momentum: high-return/low-vol assets should outperform (quality momentum),LOW — distinct from raw momentum (cluster 4) and vol factors (cluster 8); combines signal and risk,LOW,HIGH — tests whether volatility-adjusting momentum adds marginal info vs raw mom + vol,May simply replicate ranking of raw momentum if vol is not cross-sectionally dispersed,LOW,P1_CONTROLLED_BATCH,BATCH_01_CONTROLLED_INTAKE,风险调整动量：测试波动率调整是否增加边际信息,Risk-adjusted momentum: tests whether vol-normalization adds marginal info
mom_168h,medium_term_momentum,1-week (168h) momentum for weekly trend continuation,"close / delay(close, 168) - 1",close,"PASS — close available, lookback 168h within data range",delay() from factor_ops,NO,NO,positive,Weekly trend continuation in crypto; momentum persists at 1-week horizon,MEDIUM — likely joins cluster 4 (large momentum cluster) given 72h/120h neighbors,MEDIUM,MEDIUM — extends momentum curve but may not add marginal info beyond 120h,High correlation with mom_120h; may just extend a flat IC region,LOW,P2_BACKLOG,BATCH_02_BACKLOG,1周动量延伸，但可能与120h高度相关,1-week momentum extension; risk of high correlation with mom_120h
range_breakout_vol_confirm_20h,range_breakout,Breakout confirmed by above-average volume,"breakout_dist_20h * zscore(volume, 20) [when breakout_dist > 0]","high, low, close, volume",PASS — all OHLCV available,"zscore() from factor_ops; rolling_max, rolling_min from factor_ops",NO,NO,positive,Volume-confirmed breakouts are more reliable; high volume + new high = continuation signal,LOW — breakout_dist_20h is singleton-ish; adding volume confirmation is structurally distinct,LOW,HIGH — tests interaction of price breakout and volume surge; cross-factor composition diagnostic,Breakout without volume confirmation may be noise; conditional signal reduces effective sample,LOW,P1_CONTROLLED_BATCH,BATCH_01_CONTROLLED_INTAKE,成交量确认突破：测试价格突破与成交量激增的交互效应,Volume-confirmed breakout: tests price breakout × volume surge interaction
range_compression_breakout_48h,range_breakout,Low-range-compression preceding breakout tendency,"-(rolling_std((high-low)/close, 20)) [low vol of range = compression]","high, low, close",PASS — OHLC available,rolling_std() from factor_ops,NO,NO,positive,Range compression precedes explosive moves; low range vol = coiled spring,LOW — structurally different from breakout_dist; relates to volatility shape,MEDIUM,MEDIUM — tests pre-breakout compression hypothesis,Compression can persist without breakout; direction may be unclear in trending markets,LOW,P2_BACKLOG,BATCH_02_BACKLOG,区间压缩突破假设测试,Tests pre-breakout range compression hypothesis
vol_adj_mom_40h,volatility_adjusted_momentum,Medium-horizon risk-adjusted momentum at 40h,"mom_40h / rolling_std(pct_change(close), 40)",close,PASS — close available,"rolling_std(), delay() from factor_ops",NO,NO,positive,Quality-adjusted momentum at medium horizon; smooth uptrends outperform volatile drift,LOW — combines mom_40h (cluster 12) and vol_40h (singleton) into a composite,LOW,HIGH — tests vol-adjustment at different horizon than 20h variant,May replicate mom_vol_adjusted_20h if adjustment window doesn't matter,LOW,P2_BACKLOG,BATCH_02_BACKLOG,40h风险调整动量，概念上与20h变体相似，留待BATCH_02评估,"40h risk-adjusted momentum; conceptually similar to 20h variant, deferred to BATCH_02"
volume_pressure_20h,volume_pressure,Net directional volume pressure over 20h,"rolling_mean(sign(delta(close, 1)) * volume, 20)","close, volume",PASS — close and volume available,"rolling_mean(), delta() from factor_ops",NO,NO,positive,Persistent buying volume pressure indicates informed flow; positive pressure = bullish,LOW — structurally distinct from vol_zscore and vol_ret_corr; directional volume composite,LOW,HIGH — tests directional volume as a signal distinct from raw volume and return-volume correlation,May correlate with momentum if volume is not cross-sectionally informative,LOW,P1_CONTROLLED_BATCH,BATCH_01_CONTROLLED_INTAKE,定向成交量压力信号，测试方向性成交量是否独立于原始成交量和量价相关性,Directional volume pressure signal; tests whether directional volume is independent of raw volume
volume_pressure_asymmetry_40h,volume_pressure,Asymmetry of up-volume vs down-volume over 40h,"(sum(up_vol, 40) - sum(down_vol, 40)) / sum(volume, 40) where up_vol = volume if ret>0 else 0","close, volume",PASS — close and volume available,rolling_sum() from factor_ops,NO,NO,positive,Persistent up-volume dominance signals institutional accumulation,LOW — structural asymmetry not captured by existing factors,LOW,MEDIUM — tests volume asymmetry vs directional volume,May be highly correlated with volume_pressure_20h if direction dominates,LOW,P2_BACKLOG,BATCH_02_BACKLOG,成交量不对称性测试,Tests volume asymmetry hypothesis
amihud_change_20h,liquidity_stress,Change in illiquidity stress over 20h window,"amihud_20h - delay(amihud_20h, 20)","close, quote_volume",PASS — close and quote_volume available,delay() from factor_ops; amihud computation from existing formula,NO,NO,negative,Rising illiquidity signals stress; sell assets experiencing liquidity deterioration,LOW — amihud_illiquidity_20h is singleton (cluster 24); change adds dynamics,LOW,HIGH — tests dynamic liquidity stress vs static illiquidity level,May be noisy if amihud is already stationary,LOW,P2_BACKLOG,BATCH_02_BACKLOG,流动性压力动态变化信号，测试流动性压力变化是否比静态水平更有信息量,Dynamic liquidity stress; tests whether change in illiquidity adds info vs level
funding_rate_skew_20h,funding_rate_structure,Asymmetry of funding rate distribution over 20h,"rolling_skew(funding_rate, 20)",funding_rate,PASS — funding_rate available in crypto-native cache,rolling_skew() from factor_ops,NO,NO,conditional,Positive skew = occasional extreme positive funding = crowded long tail risk; direction depends on regime,"LOW — funding_rate factors are singletons (clusters 27, 39, 43); skew is structural",LOW,MEDIUM — tests funding rate distribution shape beyond mean/zscore,Funding rate distribution may be too symmetric to be informative at 20h window,LOW,P2_BACKLOG,BATCH_02_BACKLOG,资金费率分布偏度测试,Tests funding rate distribution shape beyond mean/zscore
funding_rate_momentum_20h,funding_rate_structure,Acceleration of funding rate change over 20h,"funding_rate_change_24h - delay(funding_rate_change_24h, 20)",funding_rate,PASS — funding_rate available,delay() from factor_ops,NO,NO,negative,Accelerating funding = increasingly crowded positioning = reversal signal,LOW — second derivative of funding rate; none existing,LOW,MEDIUM — tests higher-order funding rate dynamics,May be too noisy; second derivative of already noisy series,LOW,P2_BACKLOG,BATCH_02_BACKLOG,资金费率动量加速信号,Tests higher-order funding rate dynamics (acceleration)
taker_flow_momentum_20h,taker_flow_structure,Momentum of taker buy ratio over 20h,"taker_buy_ratio - delay(taker_buy_ratio, 20) [where ratio = taker_buy_qvol / qvol]","taker_buy_quote_volume, quote_volume",PASS — both available in crypto-native cache,"delay(), rolling_mean() from factor_ops",NO,NO,positive,Rising taker buy ratio = increasing aggressive buying = momentum continuation,"LOW — taker factors are singletons (clusters 37, 40, 42); 20h dynamics not captured",MEDIUM,MEDIUM — tests taker flow dynamics beyond level/zscore,May be highly correlated with taker_buy_delta_5h at different horizon,LOW,P2_BACKLOG,BATCH_02_BACKLOG,主动买入流量动量，测试流量动态是否独立于水平值和z分数,Taker flow momentum; tests whether flow dynamics are independent of level/zscore
