check,result,status
override_symbol_unique,FAIL (9 duplicates),WARN
override_map_status_case,FAIL (RESOLved typo),WARN
override_check_in_active,4 CHECK symbols in parquet,WARN
override_1000xxx_handled,"7 symbols, 6 RESOLVED + 1 CHECK",PASS
parquet_ts_symbol_unique,0 duplicates,PASS
parquet_cap_positive,0 <= 0,PASS
parquet_cap_null,366010 (11.0%),WARN
parquet_cap_known_at_vs_timestamp,0 future-known,PASS
parquet_cap_source_timestamp,exists,PASS
parquet_cap_known_at,exists,PASS
cap_definition,circulating_supply × daily_close,PASS
point_in_time_risk,CAP_POINT_IN_TIME_APPROXIMATE,PASS
