candidate_factor_id,source,theme,formula,required_inputs,data_status,expected_direction,priority_reason,recommended_action
mom_vol_adjusted_20h,factor_expansion_backlog,Risk-adjusted momentum normalizing by realized volatility,"mom_20h / rolling_std(pct_change(close), 20)",close,PASS — close available,positive,HIGH — tests whether volatility-adjusting momentum adds marginal info vs raw mom + vol,INTAKE_AFTER_WORKFLOW_UPGRADE
range_compression_breakout_48h,factor_expansion_backlog,Low-range-compression preceding breakout tendency,"-(rolling_std((high-low)/close, 20)) [low vol of range = compression]","high, low, close",PASS — OHLC available,positive,MEDIUM — tests pre-breakout compression hypothesis,INTAKE_AFTER_WORKFLOW_UPGRADE
vol_adj_mom_40h,factor_expansion_backlog,Medium-horizon risk-adjusted momentum at 40h,"mom_40h / rolling_std(pct_change(close), 40)",close,PASS — close available,positive,HIGH — tests vol-adjustment at different horizon than 20h variant,INTAKE_AFTER_WORKFLOW_UPGRADE
volume_pressure_20h,factor_expansion_backlog,Net directional volume pressure over 20h,"rolling_mean(sign(delta(close, 1)) * volume, 20)","close, volume",PASS — close and volume available,positive,HIGH — tests directional volume as a signal distinct from raw volume and return-volume correlation,INTAKE_AFTER_WORKFLOW_UPGRADE
volume_pressure_asymmetry_40h,factor_expansion_backlog,Asymmetry of up-volume vs down-volume over 40h,"(sum(up_vol, 40) - sum(down_vol, 40)) / sum(volume, 40) where up_vol = volume if ret>0 else 0","close, volume",PASS — close and volume available,positive,MEDIUM — tests volume asymmetry vs directional volume,INTAKE_AFTER_WORKFLOW_UPGRADE
amihud_change_20h,factor_expansion_backlog,Change in illiquidity stress over 20h window,"amihud_20h - delay(amihud_20h, 20)","close, quote_volume",PASS — close and quote_volume available,negative,HIGH — tests dynamic liquidity stress vs static illiquidity level,INTAKE_AFTER_WORKFLOW_UPGRADE
funding_rate_skew_20h,factor_expansion_backlog,Asymmetry of funding rate distribution over 20h,"rolling_skew(funding_rate, 20)",funding_rate,PASS — funding_rate available in crypto-native cache,conditional,MEDIUM — tests funding rate distribution shape beyond mean/zscore,INTAKE_AFTER_WORKFLOW_UPGRADE
funding_rate_momentum_20h,factor_expansion_backlog,Acceleration of funding rate change over 20h,"funding_rate_change_24h - delay(funding_rate_change_24h, 20)",funding_rate,PASS — funding_rate available,negative,MEDIUM — tests higher-order funding rate dynamics,INTAKE_AFTER_WORKFLOW_UPGRADE
taker_flow_momentum_20h,factor_expansion_backlog,Momentum of taker buy ratio over 20h,"taker_buy_ratio - delay(taker_buy_ratio, 20) [where ratio = taker_buy_qvol / qvol]","taker_buy_quote_volume, quote_volume",PASS — both available in crypto-native cache,positive,MEDIUM — tests taker flow dynamics beyond level/zscore,INTAKE_AFTER_WORKFLOW_UPGRADE
taker_flow_persistence_40h,factor_expansion_backlog,Persistence of taker buy ratio (autocorrelation),"rolling_corr(taker_ratio, delay(taker_ratio, 1), 40)","taker_buy_quote_volume, quote_volume",PASS — both available,positive,MEDIUM — tests flow persistence as signal,INTAKE_AFTER_WORKFLOW_UPGRADE
rank49_funding_basis_crowding_proxy,scripts/build_rank49_funding_basis_crowding_clean_replication.py,funding / basis / crowded-long unwind,funding_z and premium_z crowding proxy; adapt only after data contract review,funding_rate|premium_index,funding exists; premium/basis not canonical in factor workflow,conditional,Directly targets funding/basis crowding already researched in rank source.,BACKLOG_UNTIL_BASIS_DATA_CONTRACT
rank368_funding_extreme_bandfade_proxy,scripts/run_rank368_funding_extreme_bandfade_paper_runner.py,funding extreme / mean reversion,funding extreme x price band stretch fade proxy,funding_rate|ohlcv,funding and OHLCV available; adapt formula to factor registry carefully,conditional,Existing rank300+ funding idea; avoids inventing a new formula from scratch.,CANDIDATE_FOR_NEXT_BATCH_REVIEW
