dimension,question,existing_artifact,existing_status,is_displayed_on_factor_page,current_gap,severity,recommended_next_task,notes
computation_integrity,"Is the factor registered in FactorSpec?",factor_formula_registry.py + factor_specs.py,AVAILABLE,"Yes (via factor_id in table)",,NONE,,"All 71 factors registered"
computation_integrity,"Are required input columns available?",factor_library_state.json (missing_factor_values=0),AVAILABLE,"Yes (coverage_rate column)",,NONE,,"71/71 computed, 0 missing"
computation_integrity,"Are factor_values computed for all canonical symbols/timestamps?",factor_library_state.json (computed_factor_values=71),AVAILABLE,"Yes (via state summary)",,NONE,,"71/71 computed"
computation_integrity,"Is coverage high enough?",factor_level_coverage_summary.csv + factor_diagnostics_summary.csv,AVAILABLE,"Yes (coverage_rate column)",Coverage is 99.8% for all factors. No per-symbol breakdown available.,LOW,PM-16B could add per-symbol coverage flag,Very minor — all factors have near-100% coverage
computation_integrity,"Is there any future leakage risk?",FactorSpec.lookback_window + evaluate_factors.py,AVAILABLE,"No (not shown on page)",Lookback window is in FactorSpec but not displayed on factor-evaluation page.,MEDIUM,PM-17 could add lookback window to detail panel,"Lookback is explicit in code but not surfaced to reviewers"
computation_integrity,"Is direction semantics explicit?",factor_bilingual_cards.csv (expected_direction),AVAILABLE,"Yes (direction badges: 正向/负向/条件式)",,NONE,,"All 71 factors have expected_direction"
predictive_ranking,"Does the factor have stable RankIC?","factor_diagnostics_summary.csv (rankic_mean, rankic_ir, rankic_t_stat)",AVAILABLE,"Yes (rankic_mean, rankic_ir columns)",,NONE,,"71 factors evaluated at best_horizon"
predictive_ranking,"Is ICIR meaningful?",factor_diagnostics_summary.csv (rankic_ir),AVAILABLE,"Yes (rankic_ir column)",,NONE,,
predictive_ranking,"Is monthly IC stable or regime-dependent?",factor_monthly_ic_series.csv (7076 rows, 25 months),AVAILABLE,"Yes (Monthly RankIC chart in detail panel)",,NONE,,"25 months of data, per-horizon"
predictive_ranking,"Is IC based on enough observations?",factor_monthly_ic_series.csv (n_obs column),AVAILABLE,"Partially (n_obs in data but not prominently shown)",n_obs is in the data but not displayed as a column in the main table.,LOW,PM-17 could add n_obs to detail panel,Minor — 25 months is generally sufficient
portfolio_extraction,"Does the factor produce usable top-bottom long-short returns?",factor_diagnostics_summary.csv (long_short_sharpe, long_short_annualized_return),AVAILABLE,"Yes (Sharpe, annualized return, max drawdown columns)",,NONE,,
