review_batch_id,review_priority_rank,symbol,quality_flag,bar_count,bar_count_share,quote_volume_sum,quote_volume_share,first_seen,last_seen,coingecko_id,coingecko_map_status,coingecko_primary_category,coingecko_categories,target_sector,target_industry,target_subindustry,target_quality_flag,target_known_at,target_effective_from,reviewer_notes,review_packet_note
9,97,RUNEUSDT,REVIEW,17808,0.005369906270891387,34020219509.976,0.000883684016115026,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,thorchain,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,98,BEATUSDT,REVIEW,5100,0.0015378774697633688,34008274107.24186,0.0008833737311840566,2025-11-12T13:00:00Z,2026-06-13T00:00:00Z,audiera,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,99,HUSDT,REVIEW,8463,0.002551971966001449,33764946392.90771,0.0008770532307601297,2025-06-25T10:00:00Z,2026-06-13T00:00:00Z,humanity,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,100,STXUSDT,REVIEW,17808,0.005369906270891387,33627685448.8895,0.0008734878421761381,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,blockstack,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,101,SIRENUSDT,REVIEW,10743,0.0032394936583662495,33358224432.65694,0.0008664885224644885,2025-03-22T10:00:00Z,2026-06-13T00:00:00Z,siren-2,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,102,LAYERUSDT,REVIEW,11673,0.0035199301381466284,32890660125.256443,0.0008543434184379095,2025-02-11T16:00:00Z,2026-06-13T00:00:00Z,solayer,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,103,JTOUSDT,REVIEW,17808,0.005369906270891387,32662274710.9521,0.0008484110481286768,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,jito-governance-token,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,104,JASMYUSDT,REVIEW,17808,0.005369906270891387,32618368096.253113,0.0008472705624360482,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,jasmycoin,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,105,AIXBTUSDT,REVIEW,12942,0.0039025902379759845,32195836126.52639,0.000836295185048033,2024-12-20T19:00:00Z,2026-06-13T00:00:00Z,aixbt,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,106,STRKUSDT,REVIEW,17808,0.005369906270891387,31798984721.747894,0.0008259868669881593,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,starknet,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,107,MASKUSDT,REVIEW,17808,0.005369906270891387,31411798587.629,0.0008159296068378566,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,mask-network,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
9,108,AXSUSDT,REVIEW,17808,0.005369906270891387,31391445721.882,0.0008154009358768275,2024-06-01T01:00:00Z,2026-06-13T00:00:00Z,axie-infinity,RESOLVED,,,,,,REVIEW,,,,manual_review_packet_only; CoinGecko evidence is not taxonomy approval; copy reviewed targets into source CSV
