symbol,base_asset,normalized_base,coingecko_id,map_source,map_status,notes
BTCUSDT,BTC,BTC,bitcoin,manual,RESOLVED,
ETHUSDT,ETH,ETH,ethereum,manual,RESOLVED,
BNBUSDT,BNB,BNB,binancecoin,manual,RESOLVED,
SOLUSDT,SOL,SOL,solana,manual,RESOLVED,
XRPUSDT,XRP,XRP,ripple,manual,RESOLVED,
DOGEUSDT,DOGE,DOGE,dogecoin,manual,RESOLVED,
ADAUSDT,ADA,ADA,cardano,manual,RESOLVED,
AVAXUSDT,AVAX,AVAX,avalanche-2,manual,RESOLVED,
TRXUSDT,TRX,TRX,tron,manual,RESOLVED,
LINKUSDT,LINK,LINK,chainlink,manual,RESOLVED,
DOTUSDT,DOT,DOT,polkadot,manual,RESOLVED,
MATICUSDT,MATIC,MATIC,matic-network,manual,RESOLVED,
SHIBUSDT,SHIB,SHIB,shiba-inu,manual,RESOLVED,
LTCUSDT,LTC,LTC,litecoin,manual,RESOLVED,
BCHUSDT,BCH,BCH,bitcoin-cash,manual,RESOLVED,
UNIUSDT,UNI,UNI,uniswap,manual,RESOLVED,
ATOMUSDT,ATOM,ATOM,cosmos,manual,RESOLVED,
XLMUSDT,XLM,XLM,stellar,manual,RESOLVED,
ETCUSDT,ETC,ETC,ethereum-classic,manual,RESOLVED,
FILUSDT,FIL,FIL,filecoin,manual,RESOLVED,
APTUSDT,APT,APT,aptos,manual,RESOLVED,
NEARUSDT,NEAR,NEAR,near,manual,RESOLVED,
ARBUSDT,ARB,ARB,arbitrum,manual,RESOLVED,
OPUSDT,OP,OP,optimism,manual,RESOLVED,
MKRUSDT,MKR,MKR,maker,manual,RESOLVED,
AAVEUSDT,AAVE,AAVE,aave,manual,RESOLVED,
GRTUSDT,GRT,GRT,the-graph,manual,RESOLVED,
ALGOUSDT,ALGO,ALGO,algorand,manual,RESOLVED,
SANDUSDT,SAND,SAND,the-sandbox,manual,RESOLVED,
MANAUSDT,MANA,MANA,decentraland,manual,RESOLVED,
AXSUSDT,AXS,AXS,axie-infinity,manual,RESOLVED,
APEUSDT,APE,APE,apecoin,manual,RESOLVED,
CHZUSDT,CHZ,CHZ,chiliz,manual,RESOLVED,
FLOWUSDT,FLOW,FLOW,flow,manual,RESOLVED,
ICPUSDT,ICP,ICP,internet-computer,manual,RESOLVED,
VETUSDT,VET,VET,vechain,manual,RESOLVED,
THETAUSDT,THETA,THETA,theta-token,manual,RESOLVED,
EOSUSDT,EOS,EOS,eos,manual,RESOLVED,
FTMUSDT,FTM,FTM,fantom,manual,RESOLVED,
XTZUSDT,XTZ,XTZ,tezos,manual,RESOLVED,
EGLDUSDT,EGLD,EGLD,elrond-erd-2,manual,RESOLVED,
HBARUSDT,HBAR,HBAR,hedera-hashgraph,manual,RESOLVED,
NEOUSDT,NEO,NEO,neo,manual,RESOLVED,
KAVAUSDT,KAVA,KAVA,kava,manual,RESOLVED,
RUNEUSDT,RUNE,RUNE,thorchain,manual,RESOLVED,
SNXUSDT,SNX,SNX,havven,manual,RESOLVED,
CRVUSDT,CRV,CRV,curve-dao-token,manual,RESOLVED,
SUSHIUSDT,SUSHI,SUSHI,sushi,manual,RESOLVED,
COMPUSDT,COMP,COMP,compound-governance-token,manual,RESOLVED,
ZRXUSDT,ZRX,ZRX,0x,manual,RESOLVED,
BALUSDT,BAL,BAL,balancer,manual,RESOLVED,
YFIUSDT,YFI,YFI,yearn-finance,manual,RESOLVED,
