path,category,status,role,current_authority,used_by,consumes,produces,public_or_internal,orphan_risk,recommended_action
data/cache/crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1/bars_1h.parquet,data,ACTIVE_MAINLINE,"Raw 1h OHLCV bars (266 symbols, 3.3M rows)",download_full_binance_1h_universe.py,"universe, labels, factor_values",Binance API,bars_1h.parquet,internal,LOW,KEEP
data/universe/crypto_top50_usdt_perp_monthly_volume_top50_current_listed_v1/,data,ACTIVE_MAINLINE,Universe snapshots & membership,build_crypto_top50_universe.py,"labels, factor_values",bars_1h.parquet,"universe_snapshots.parquet, universe_membership.parquet",internal,LOW,KEEP
data/features/crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1/labels.parquet,data,ACTIVE_MAINLINE,Forward-return labels (1h/4h/24h/72h),build_labels.py,"evaluate_signals, evaluate_factors",bars_1h.parquet,labels.parquet,internal,LOW,KEEP
data/features/crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1/<factor>/factor_values.parquet,data,ACTIVE_MAINLINE,Factor values (47 factors),build_factor_values.py,"build_phase9b_signal_panel, evaluate_factors",bars_1h.parquet,factor_values.parquet,internal,LOW,KEEP
scripts/download_full_binance_1h_universe.py,script,ACTIVE_MAINLINE,Download 1h kline data,pipeline,data pipeline,Binance API,bars_1h.parquet,internal,LOW,KEEP
scripts/build_crypto_top50_universe.py,script,ACTIVE_MAINLINE,Build universe snapshots,pipeline,data pipeline,bars_1h.parquet,universe_snapshots.parquet,internal,LOW,KEEP
scripts/build_labels.py,script,ACTIVE_MAINLINE,Build forward-return labels,pipeline,data pipeline,bars_1h.parquet,labels.parquet,internal,LOW,KEEP
scripts/factor_formula_registry.py,script,ACTIVE_MAINLINE,"Factor spec registry (53 factors, 804 lines)",single source of truth for factor definitions,"build_factor_values, evaluate_factors, signal panel","factor_specs.py, factor_ops.py",FactorSpec registry,internal,LOW,KEEP
scripts/factor_specs.py,script,ACTIVE_MAINLINE,FactorSpec dataclass,factor_formula_registry.py,factor_formula_registry,none,FactorSpec class,internal,LOW,KEEP
scripts/factor_ops.py,script,ACTIVE_MAINLINE,Factor building-block operators,factor_formula_registry.py,factor_formula_registry,none,operator functions,internal,LOW,KEEP
scripts/build_factor_values.py,script,ACTIVE_MAINLINE,Compute factor values from registry,pipeline,data pipeline,"factor_formula_registry, bars_1h.parquet",factor_values.parquet,internal,LOW,KEEP
scripts/build_phase9b_signal_panel.py,script,ACTIVE_MAINLINE,Build signal panel from factor values,pipeline,data pipeline,factor_values.parquet,phase9b_signal_panel.parquet,internal,LOW,KEEP
scripts/evaluate_signals.py,script,ACTIVE_MAINLINE,Signal-level RankIC/Spread evaluation,pipeline,data pipeline,"signal_panel, labels",signal_evaluation_*.csv,internal,LOW,KEEP
scripts/evaluate_factors.py,script,ACTIVE_MAINLINE,"Factor-level IC evaluation (H8, H8-R)",H8-R parity verified,data pipeline,"factor_values.parquet, labels.parquet",factor_level_rankic_summary.csv,internal,LOW,KEEP
scripts/check_factor_ic_parity.py,script,ACTIVE_SUPPORTING,Factor IC parity guard (H8-R),H8-R,quality assurance,"factor_values, labels, signal_evaluation API",parity check results,internal,LOW,KEEP
scripts/run_signal_evaluation_parity_harness.py,script,ACTIVE_SUPPORTING,Signal evaluation parity harness,H2,quality assurance,signal_evaluation API,parity check results,internal,LOW,KEEP
scripts/run_phase11a_cost_slippage_capacity.py,script,ACTIVE_SUPPORTING,Cost/slippage diagnostic,Phase 11A,diagnostic pipeline,signal_panel,cost capacity matrix,internal,LOW,KEEP
scripts/run_phase11b_liquidity_capacity.py,script,ACTIVE_SUPPORTING,Liquidity capacity diagnostic,Phase 11B,diagnostic pipeline,signal_panel,liquidity panel,internal,LOW,KEEP
scripts/run_phase12a_paper_signal_harness.py,script,ACTIVE_SUPPORTING,Paper signal generation,Phase 12A,paper pipeline,signal_panel,paper signals,internal,LOW,KEEP
scripts/run_phase12b_paper_monitoring.py,script,ACTIVE_SUPPORTING,Paper signal monitoring,Phase 12B,paper pipeline,paper signals,monitoring logs,internal,LOW,KEEP
scripts/_build_factor_eval_html.py,script,ACTIVE_SUPPORTING,HTML builder for factor-evaluation.html,H8,HTML generation,factor_level_rankic_summary.csv,factor-evaluation.html,internal,LOW,KEEP
scripts/export_alphalens_factor_data.py,script,HISTORICAL_ARCHIVE,Alphalens export (historical),Phase 5B,alphalens_exports/,factor_values,alphalens parquet bundles,internal,MEDIUM,ARCHIVE
scripts/run_alphalens_smoke_check.py,script,HISTORICAL_ARCHIVE,Alphalens smoke check (historical),Phase 5B,none,alphalens_exports,smoke check JSON,internal,MEDIUM,ARCHIVE
scripts/evaluate_factors_dynamic_universe.py,script,DEPRECATED_STALE / HISTORICAL_REFERENCE,Old dynamic universe evaluator (broken — imports missing module; kept as evidence; canonical is evaluate_factors.py),none,none,none (broken),none (broken),internal,HIGH,KEEP_IN_PLACE
scripts/compare_static_dynamic_factor_evals.py,script,ORPHAN_REVIEW_REQUIRED,Compare static vs dynamic factor evals,unclear,unknown,old factor eval outputs,comparison report,internal,HIGH,REVIEW
scripts/analyze_factor_redundancy.py,script,ACTIVE_SUPPORTING,Factor redundancy analysis,supporting,factor analysis,factor_values,redundancy report,internal,LOW,KEEP
scripts/audit_crypto_factor_results.py,script,ACTIVE_SUPPORTING,Factor audit (IC/RankIC/spread),supporting,factor analysis,factor eval outputs,audit report,internal,LOW,KEEP
src/momentum/signal_evaluation/,module,ACTIVE_MAINLINE,"Public API: compute_rank_ic, compute_quantile_spread",evaluate_signals.py uses it,"evaluate_signals, check_factor_ic_parity","signal_df, label_df",rank_ic DataFrame,internal,LOW,KEEP
src/momentum/factors/,module,ACTIVE_SUPPORTING,Reusable factor modules,factor_formula_registry.py references some,factor_formula_registry,bars data,factor values,internal,LOW,KEEP
reports/site/factor-library/index.html,public_site,PUBLIC_SITE,Factor library home page,H6/H7,public visitors,assets/*.json,HTML,public,LOW,KEEP
reports/site/factor-library/actual-script-map.html,public_site,PUBLIC_SITE,Code structure map,H7/H8-R,public visitors,actual_script_map.json,HTML,public,LOW,KEEP
reports/site/factor-library/factor-evaluation.html,public_site,PUBLIC_SITE,Factor-level IC evaluation page,H8/H8-R,public visitors,factor_evaluation.json,HTML,public,LOW,KEEP
reports/site/factor-library/signal-evaluation-summary.html,public_site,PUBLIC_SITE,Signal evaluation summary page,H7,public visitors,signal_evaluation_summary.json,HTML,public,LOW,KEEP
reports/site/factor-library/_archive/,public_site,HISTORICAL_ARCHIVE,Old site pages (21 pages),moved from active in H6,none,old JSON assets,HTML,internal,LOW,KEEP_ARCHIVE
research/.../factor_level_evaluation/,output,ACTIVE_MAINLINE,Factor-level IC evaluation outputs,H8/H8-R,factor-evaluation.html,evaluate_factors.py,"rankic_summary.csv/json, coverage, manifest",internal,LOW,KEEP
