factor_id,family,expected_direction,required_columns,lookback_window,formula_proxy,fv_exists
wq101_alpha14,wq101,conditional,open|close|volume,10,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved",True
wq101_alpha15,wq101,conditional,high|volume,5,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved",True
wq101_alpha16,wq101,conditional,high|volume,5,"WorldQuant 101 Alpha#16: -rank(covariance(rank(high),rank(volume),5)); panel rank semantics preserved",True
wq101_alpha17,wq101,conditional,close|volume,24,"WorldQuant 101 Alpha#17: -rank(ts_rank(close,10))*rank(delta(delta(close,1),1))*rank(ts_rank(volume/adv20,5))",True
wq101_alpha18,wq101,conditional,open|close,10,"WorldQuant 101 Alpha#18: -rank(stddev(abs(close-open),5)+(close-open)+correlation(close,open,10))",True
wq101_alpha19,wq101,conditional,close,251,"WorldQuant 101 Alpha#19: -sign((close-delay(close,7))+delta(close,7))*(1+rank(1+sum(returns,250)))",True
wq101_alpha20,wq101,conditional,open|high|low|close,2,"WorldQuant 101 Alpha#20: -rank(open-delay(high,1))*rank(open-delay(close,1))*rank(open-delay(low,1))",True
wq101_alpha22,wq101,conditional,high|close|volume,20,"WorldQuant 101 Alpha#22: -delta(correlation(high,volume,5),5)*rank(stddev(close,20))",True
wq101_alpha26,wq101,conditional,high|volume,11,"WorldQuant 101 Alpha#26: -ts_max(correlation(ts_rank(volume,5),ts_rank(high,5),5),3)",True
wq101_alpha27,wq101,conditional,volume|quote_volume,7,"WorldQuant 101 Alpha#27: rank(mean(correlation(rank(volume),rank(vwap),6),2)) > 0.5 ? -1 : 1",True
