factor_id,family,expected_direction,formula_proxy,required_columns,lookback_window,data_availability,coverage,missing_rate,best_horizon,best_adj_ic,best_adj_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,ic_win_rate,monthly_stability_summary,quantile_monotonicity_summary,rankic_longshort_consistency,redundancy_level,nearest_existing_factors,decision_bucket,recommended_action,caveats
wq101_alpha14,wq101,conditional,"WorldQuant 101 Alpha#14: -rank(delta(returns,3))*correlation(open,volume,10); panel rank semantics preserved",open|close|volume,10,EXISTS,3304941,0.003332,24h,0.01672902,0.146851,72h,-0.00095465,-3.2369,0.5669,STABLE (23/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha15,wq101,conditional,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved",high|volume,5,EXISTS,2668015,0.195409,72h,0.004495,0.050698,72h,0.00080534,3.7416,0.5162,MIXED (13/25 months positive),NON_MONOTONIC (2 sign changes),CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha16,wq101,conditional,"WorldQuant 101 Alpha#16: -rank(covariance(rank(high),rank(volume),5)); panel rank semantics preserved",high|volume,5,EXISTS,3315183,0.000243,24h,0.02371484,0.270668,72h,-0.0029967,-10.2524,0.6086,STABLE (24/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha17,wq101,conditional,"WorldQuant 101 Alpha#17: -rank(ts_rank(close,10))*rank(delta(delta(close,1),1))*rank(ts_rank(volume/adv20,5))",close|volume,24,EXISTS,3301205,0.004459,1h,0.02133886,0.181528,72h,0.00056779,1.9276,0.5835,STABLE (25/25 months positive),MONOTONIC_INCREASING,CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha18,wq101,conditional,"WorldQuant 101 Alpha#18: -rank(stddev(abs(close-open),5)+(close-open)+correlation(close,open,10))",open|close,10,EXISTS,3304938,0.003333,24h,-0.00855298,-0.071356,72h,-0.00140789,-4.8618,0.501,UNSTABLE (6/25 months positive),NEARLY_MONOTONIC,CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha19,wq101,conditional,"WorldQuant 101 Alpha#19: -sign((close-delay(close,7))+delta(close,7))*(1+rank(1+sum(returns,250)))",close,251,EXISTS,3249009,0.020199,4h,0.01692581,0.12338,72h,-0.00272637,-8.143,0.558,STABLE (23/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha20,wq101,conditional,"WorldQuant 101 Alpha#20: -rank(open-delay(high,1))*rank(open-delay(close,1))*rank(open-delay(low,1))",open|high|low|close,2,EXISTS,3315990,0.0,72h,0.01809815,0.181094,72h,0.00118967,4.6076,0.5836,STABLE (22/25 months positive),NEARLY_MONOTONIC,CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha22,wq101,conditional,"WorldQuant 101 Alpha#22: -delta(correlation(high,volume,5),5)*rank(stddev(close,20))",high|close|volume,20,EXISTS,3302027,0.004211,24h,0.00424363,0.041277,24h,0.00012551,0.916,0.5197,STABLE (24/25 months positive),NEARLY_MONOTONIC,CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha26,wq101,conditional,"WorldQuant 101 Alpha#26: -ts_max(correlation(ts_rank(volume,5),ts_rank(high,5),5),3)",high|volume,11,EXISTS,3013600,0.091191,24h,0.02642808,0.25073,72h,-0.00238534,-8.1746,0.6049,STABLE (24/25 months positive),NEARLY_MONOTONIC,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha27,wq101,conditional,"WorldQuant 101 Alpha#27: rank(mean(correlation(rank(volume),rank(vwap),6),2)) > 0.5 ? -1 : 1",volume|quote_volume,7,EXISTS,1336190,0.597046,24h,0.02407085,0.153241,72h,-0.00173954,-3.0224,0.5754,STABLE (24/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
