factor_id,used_in_signal,signal_role,in_NEGATIVE_list,in_OVERLAY_list,signal_transform_applied,factor_expected_direction,factor_raw_ic_1h,factor_adj_ic_1h,transform_matches_expected_direction,notes
vol_5h,True,risk_pressure,True,False,MULTIPLY_BY_NEG1,negative,-0.033746,0.033746,"YES — negative expected, signal flips to positive",
vol_40h,True,risk_pressure,True,False,MULTIPLY_BY_NEG1,negative,-0.038423,0.038423,"YES — negative expected, signal flips to positive",
downside_vol_20h,True,risk_pressure,True,False,MULTIPLY_BY_NEG1,negative,-0.02887,0.02887,"YES — negative expected, signal flips to positive",
vol_of_vol_20h,True,risk_pressure,True,False,MULTIPLY_BY_NEG1,negative,-0.03028,0.03028,"YES — negative expected, signal flips to positive",
rsi_7h,True,oscillator_exhaustion,True,False,MULTIPLY_BY_NEG1,negative,-0.030477,0.030477,"YES — negative expected, signal flips to positive",
rsi_28h,True,oscillator_exhaustion,True,False,MULTIPLY_BY_NEG1,negative,-0.025334,0.025334,"YES — negative expected, signal flips to positive",
xs_rank_vol,True,liquidity_gate,False,False,RANK_PERCENTILE_GATE,conditional,-0.019129,-0.019129,"CONDITIONAL — liquidity gate uses rank percentile, not direction",
range_1h,True,position_timing_overlay,False,True,MULTIPLY_BY_NEG1,conditional,-0.037116,-0.037116,CONDITIONAL — overlay justified by mean-reversion hypothesis,
range_4h,True,position_timing_overlay,False,True,MULTIPLY_BY_NEG1,conditional,-0.036491,-0.036491,CONDITIONAL — overlay justified by mean-reversion hypothesis,
price_pos_24h,True,position_timing_overlay,False,True,MULTIPLY_BY_NEG1,conditional,-0.021024,-0.021024,CONDITIONAL — overlay justified by mean-reversion hypothesis,
