signal_id,symbol,side,mode,signal_ts,signal_confirmed_at,bar_key,entry_ts,entry_price,entry_fee_bps,entry_maker,paper_trade_state,status,exit_ts,exit_price,exit_reason,mark_ts,mark_price,gross_ret,net_ret,mark_gross_ret,mark_net_ret,paper_effective_gross_ret,paper_effective_net_ret,hold_minutes,target_hit,stop_hit,timeout_hit,same_bar_conflict,barrier_type,atr14,tp_atr_mult,sl_atr_mult,timeout_15m,max_concurrent_positions,exit_monitor_interval_minutes,trade_ts,notional_usdt,live_like_pnl_usdt,effective_net_ret,month
rank32b-tradoorusdt-37cb93ffc4e1d198,TRADOORUSDT,long,official_close,2026-03-07T08:00:00Z,2026-03-07T08:15:00Z,TRADOORUSDT|2026-03-07T08:00:00Z,2026-03-07T08:15:00Z,1.666,6.0,0,closed,realized,2026-03-07T08:38:59Z,1.6577857142857142,stop_1m,,,-0.00493054364602985,-0.006124268768650465,,,-0.00493054364602985,-0.006124268768650465,23,0,1,0,0,atr,0.008214285714285683,1.75,1.0,8,3,1,2026-03-07T08:38:59Z,40.0,-0.2449707507460186,-0.006124268768650465,2026-03
rank32b-pippinusdt-98336d4c6e31a728,PIPPINUSDT,short,official_close,2026-03-07T08:30:00Z,2026-03-07T08:45:00Z,PIPPINUSDT|2026-03-07T08:30:00Z,2026-03-07T08:45:00Z,0.35602,6.0,0,closed,realized,2026-03-07T09:11:59Z,0.3620857142857143,stop_1m,,,-0.017037566107843016,-0.01821676716203746,,,-0.017037566107843016,-0.01821676716203746,26,0,1,0,0,atr,0.006065714285714273,1.75,1.0,8,3,1,2026-03-07T09:11:59Z,40.0,-0.7286706864814985,-0.01821676716203746,2026-03
rank32b-pippinusdt-4c5e3a14dcf3f275,PIPPINUSDT,short,official_close,2026-03-07T10:15:00Z,2026-03-07T10:30:00Z,PIPPINUSDT|2026-03-07T10:15:00Z,2026-03-07T10:30:00Z,0.35697,6.0,0,closed,realized,2026-03-07T12:30:59Z,0.35465,timeout_1m,,,0.006499145586463806,0.005291708951452367,,,0.006499145586463806,0.005291708951452367,120,0,0,1,0,atr,0.005466428571428554,1.75,1.0,8,3,1,2026-03-07T12:30:59Z,40.0,0.2116683580580947,0.005291708951452367,2026-03
rank32b-pippinusdt-21fc755badef4381,PIPPINUSDT,short,official_close,2026-03-07T18:30:00Z,2026-03-07T18:45:00Z,PIPPINUSDT|2026-03-07T18:30:00Z,2026-03-07T18:45:00Z,0.35802,6.0,0,closed,realized,2026-03-07T19:15:59Z,0.36249857142857145,stop_1m,,,-0.012509277215159598,-0.01369391058584124,,,-0.012509277215159598,-0.01369391058584124,30,0,1,0,0,atr,0.004478571428571423,1.75,1.0,8,3,1,2026-03-07T19:15:59Z,40.0,-0.5477564234336496,-0.01369391058584124,2026-03
rank32b-nearusdt-91abecacba657090,NEARUSDT,short,official_close,2026-03-07T18:00:00Z,2026-03-07T18:15:00Z,NEARUSDT|2026-03-07T18:00:00Z,2026-03-07T18:15:00Z,1.221,6.0,0,closed,realized,2026-03-07T19:49:59Z,1.209375,target_1m,,,0.00952088452088451,0.008309822886977791,,,0.00952088452088451,0.008309822886977791,94,1,0,0,0,atr,0.006642857142857157,1.75,1.0,8,3,1,2026-03-07T19:49:59Z,100.0,0.8309822886977791,0.008309822886977791,2026-03
rank32b-pippinusdt-0e01e0e6537db39e,PIPPINUSDT,short,official_close,2026-03-07T22:15:00Z,2026-03-07T22:30:00Z,PIPPINUSDT|2026-03-07T22:15:00Z,2026-03-07T22:30:00Z,0.35834,6.0,0,closed,realized,2026-03-07T22:55:59Z,0.352,target_1m,,,0.01769269408941232,0.01647182922587498,,,0.01769269408941232,0.01647182922587498,25,1,0,0,0,atr,0.003622857142857138,1.75,1.0,8,3,1,2026-03-07T22:55:59Z,40.0,0.6588731690349992,0.01647182922587498,2026-03
rank32b-beatusdt-ada6221945d9b727,BEATUSDT,long,official_close,2026-03-07T23:00:00Z,2026-03-07T23:15:00Z,BEATUSDT|2026-03-07T23:00:00Z,2026-03-07T23:15:00Z,0.3525,6.0,0,closed,realized,2026-03-07T23:53:59Z,0.35951249999999996,target_1m,,,0.019893617021276455,0.01867011184255296,,,0.019893617021276455,0.01867011184255296,38,1,0,0,0,atr,0.004007142857142856,1.75,1.0,8,3,1,2026-03-07T23:53:59Z,40.0,0.7468044737021184,0.01867011184255296,2026-03
rank32b-beatusdt-012b8e8a54b9bdab,BEATUSDT,long,official_close,2026-03-08T01:30:00Z,2026-03-08T01:45:00Z,BEATUSDT|2026-03-08T01:30:00Z,2026-03-08T01:45:00Z,0.354,6.0,0,closed,realized,2026-03-08T02:43:59Z,0.36255,target_1m,,,0.024152542372881447,0.02292392801694909,,,0.024152542372881447,0.02292392801694909,58,1,0,0,0,atr,0.004885714285714291,1.75,1.0,8,3,1,2026-03-08T02:43:59Z,40.0,0.9169571206779636,0.02292392801694909,2026-03
rank32b-actusdt-8d0666ab8ac649b0,ACTUSDT,short,official_close,2026-03-08T10:30:00Z,2026-03-08T10:45:00Z,ACTUSDT|2026-03-08T10:30:00Z,2026-03-08T10:45:00Z,0.01288,6.0,0,closed,realized,2026-03-08T11:06:59Z,0.012780000000000001,target_1m,,,0.00776397515527949,0.0065550211801239655,,,0.00776397515527949,0.0065550211801239655,21,1,0,0,0,atr,5.714285714285692e-05,1.75,1.0,8,3,1,2026-03-08T11:06:59Z,40.0,0.2622008472049586,0.0065550211801239655,2026-03
rank32b-wldusdt-c280035728e9e99a,WLDUSDT,short,official_close,2026-03-08T11:00:00Z,2026-03-08T11:15:00Z,WLDUSDT|2026-03-08T11:00:00Z,2026-03-08T11:15:00Z,0.3747,6.0,0,closed,realized,2026-03-08T11:23:59Z,0.3762928571428571,stop_1m,,,-0.004251019863509731,-0.00544556017004072,,,-0.004251019863509731,-0.00544556017004072,8,0,1,0,0,atr,0.0015928571428571459,1.75,1.0,8,3,1,2026-03-08T11:23:59Z,100.0,-0.544556017004072,-0.00544556017004072,2026-03
rank32b-fartcoinusdt-d0af0ebd09760050,FARTCOINUSDT,short,official_close,2026-03-08T12:00:00Z,2026-03-08T12:15:00Z,FARTCOINUSDT|2026-03-08T12:00:00Z,2026-03-08T12:15:00Z,0.1465,6.0,0,closed,realized,2026-03-08T12:21:59Z,0.14778571428571427,stop_1m,,,-0.008776206728425162,-0.009965318439785542,,,-0.008776206728425162,-0.009965318439785542,6,0,1,0,0,atr,0.001285714285714287,1.75,1.0,8,3,1,2026-03-08T12:21:59Z,40.0,-0.3986127375914217,-0.009965318439785542,2026-03
rank32b-brettusdt-1bc18826f59aacbb,BRETTUSDT,short,official_close,2026-03-08T13:00:00Z,2026-03-08T13:15:00Z,BRETTUSDT|2026-03-08T13:00:00Z,2026-03-08T13:15:00Z,0.006871,6.0,0,closed,realized,2026-03-08T14:04:59Z,0.0069455714285714286,stop_1m,,,-0.010853067758903823,-0.012039687984697567,,,-0.010853067758903823,-0.012039687984697567,49,0,1,0,0,atr,7.457142857142855e-05,1.75,1.0,8,3,1,2026-03-08T14:04:59Z,40.0,-0.4815875193879027,-0.012039687984697567,2026-03
rank32b-fartcoinusdt-8033f8a1cb19b650,FARTCOINUSDT,short,official_close,2026-03-08T21:00:00Z,2026-03-08T21:15:00Z,FARTCOINUSDT|2026-03-08T21:00:00Z,2026-03-08T21:15:00Z,0.1462,6.0,0,closed,realized,2026-03-08T21:55:59Z,0.14744285714285713,stop_1m,,,-0.0085010748485439,-0.009690516619112688,,,-0.0085010748485439,-0.009690516619112688,40,0,1,0,0,atr,0.0012428571428571408,1.75,1.0,8,3,1,2026-03-08T21:55:59Z,40.0,-0.3876206647645075,-0.009690516619112688,2026-03
rank32b-aaveusdt-bb1ddbc078bed224,AAVEUSDT,short,official_close,2026-03-08T20:45:00Z,2026-03-08T21:00:00Z,AAVEUSDT|2026-03-08T20:45:00Z,2026-03-08T21:00:00Z,106.84,6.0,0,closed,realized,2026-03-08T22:01:59Z,105.82625,target_1m,,,0.009488487457881,0.008277464688786873,,,0.009488487457881,0.008277464688786873,61,1,0,0,0,atr,0.5792857142857132,1.75,1.0,8,3,1,2026-03-08T22:01:59Z,100.0,0.8277464688786873,0.008277464688786873,2026-03
rank32b-fartcoinusdt-710d5d99cca09890,FARTCOINUSDT,short,official_close,2026-03-08T22:00:00Z,2026-03-08T22:15:00Z,FARTCOINUSDT|2026-03-08T22:00:00Z,2026-03-08T22:15:00Z,0.1451,6.0,0,closed,realized,2026-03-08T22:36:59Z,0.14660714285714285,stop_1m,,,-0.010386925273210501,-0.011574104702175791,,,-0.010386925273210501,-0.011574104702175791,21,0,1,0,0,atr,0.0015071428571428538,1.75,1.0,8,3,1,2026-03-08T22:36:59Z,40.0,-0.46296418808703166,-0.011574104702175791,2026-03
rank32b-actusdt-e24a1a93c54d9725,ACTUSDT,short,official_close,2026-03-08T23:15:00Z,2026-03-08T23:30:00Z,ACTUSDT|2026-03-08T23:15:00Z,2026-03-08T23:30:00Z,0.01274,6.0,0,closed,realized,2026-03-08T23:52:59Z,0.01252875,target_1m,,,0.01658163265306123,0.015362100663265155,,,0.01658163265306123,0.015362100663265155,22,1,0,0,0,atr,0.00012071428571428563,1.75,1.0,8,3,1,2026-03-08T23:52:59Z,40.0,0.6144840265306062,0.015362100663265155,2026-03
rank32b-zecusdt-3a760b59107c6ed0,ZECUSDT,short,official_close,2026-03-08T23:30:00Z,2026-03-08T23:45:00Z,ZECUSDT|2026-03-08T23:30:00Z,2026-03-08T23:45:00Z,197.69,6.0,0,closed,realized,2026-03-09T00:08:59Z,199.795,stop_1m,,,-0.010647984217714512,-0.011834850469927716,,,-0.010647984217714512,-0.011834850469927716,23,0,1,0,0,atr,2.105,1.75,1.0,8,3,1,2026-03-09T00:08:59Z,100.0,-1.1834850469927716,-0.011834850469927716,2026-03
rank32b-uniusdt-3177aad18079a096,UNIUSDT,short,official_close,2026-03-09T01:45:00Z,2026-03-09T02:00:00Z,UNIUSDT|2026-03-09T01:45:00Z,2026-03-09T02:00:00Z,3.676,6.0,0,closed,realized,2026-03-09T02:36:59Z,3.705071428571429,stop_1m,,,-0.007908440851857712,-0.009098593569874303,,,-0.007908440851857712,-0.009098593569874303,36,0,1,0,0,atr,0.029071428571428637,1.75,1.0,8,3,1,2026-03-09T02:36:59Z,100.0,-0.9098593569874303,-0.009098593569874303,2026-03
rank32b-fartcoinusdt-26b935f8a86aaf69,FARTCOINUSDT,short,official_close,2026-03-09T11:15:00Z,2026-03-09T11:30:00Z,FARTCOINUSDT|2026-03-09T11:15:00Z,2026-03-09T11:30:00Z,0.1463,6.0,0,closed,realized,2026-03-09T12:37:59Z,0.1477214285714286,stop_1m,,,-0.009715848061712773,-0.010903832541744096,,,-0.009715848061712773,-0.010903832541744096,67,0,1,0,0,atr,0.0014214285714285715,1.75,1.0,8,3,1,2026-03-09T12:37:59Z,40.0,-0.43615330166976385,-0.010903832541744096,2026-03
rank32b-brettusdt-eb8758963733073b,BRETTUSDT,long,official_close,2026-03-09T11:30:00Z,2026-03-09T11:45:00Z,BRETTUSDT|2026-03-09T11:30:00Z,2026-03-09T11:45:00Z,0.007135,6.0,0,closed,realized,2026-03-09T12:41:59Z,0.007231375,target_1m,,,0.013507358093903354,0.012291514126839376,,,0.013507358093903354,0.012291514126839376,56,1,0,0,0,atr,5.507142857142845e-05,1.75,1.0,8,3,1,2026-03-09T12:41:59Z,40.0,0.49166056507357503,0.012291514126839376,2026-03
rank32b-beatusdt-d3be0e0658014cf5,BEATUSDT,long,official_close,2026-03-09T11:00:00Z,2026-03-09T11:15:00Z,BEATUSDT|2026-03-09T11:00:00Z,2026-03-09T11:15:00Z,0.367,6.0,0,closed,realized,2026-03-09T13:15:59Z,0.368,timeout_1m,,,0.0027247956403269047,0.0015218868664848006,,,0.0027247956403269047,0.0015218868664848006,120,0,0,1,0,atr,0.007642857142857141,1.75,1.0,8,3,1,2026-03-09T13:15:59Z,40.0,0.060875474659392026,0.0015218868664848006,2026-03
rank32b-aaveusdt-60fba20804f30876,AAVEUSDT,short,official_close,2026-03-09T15:15:00Z,2026-03-09T15:30:00Z,AAVEUSDT|2026-03-09T15:15:00Z,2026-03-09T15:30:00Z,105.99,6.0,0,closed,realized,2026-03-09T17:30:59Z,105.96,timeout_1m,,,0.0002830455703368706,-0.0009169339824511846,,,0.0002830455703368706,-0.0009169339824511846,120,0,0,1,0,atr,0.8478571428571412,1.75,1.0,8,3,1,2026-03-09T17:30:59Z,100.0,-0.09169339824511846,-0.0009169339824511846,2026-03
