factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha77,wq101,conditional,factor_registry,1h,-0.00300531,-0.00300531,-3.8254,17740,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer"
wq101_alpha77,wq101,conditional,factor_registry,4h,-0.00263833,-0.00263833,-3.3309,17738,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer"
wq101_alpha77,wq101,conditional,factor_registry,24h,-0.010735,-0.010735,-13.2935,17718,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer"
wq101_alpha77,wq101,conditional,factor_registry,72h,-0.01273317,-0.01273317,-15.7191,17670,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer"
wq101_alpha78,wq101,conditional,factor_registry,1h,-0.00098703,-0.00098703,-1.1622,17716,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))"
wq101_alpha78,wq101,conditional,factor_registry,4h,-0.00326431,-0.00326431,-3.7724,17714,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))"
wq101_alpha78,wq101,conditional,factor_registry,24h,-0.00750694,-0.00750694,-8.6439,17694,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))"
wq101_alpha78,wq101,conditional,factor_registry,72h,-0.00772576,-0.00772576,-8.9808,17646,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))"
wq101_alpha83,wq101,conditional,factor_registry,1h,0.02314648,0.02314648,26.9196,17799,185.7,3305599,6.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))"
wq101_alpha83,wq101,conditional,factor_registry,4h,0.01491077,0.01491077,17.2173,17797,185.7,3305599,6.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))"
