factor_id,family,expected_direction,required_columns,lookback_window,formula_proxy,fv_exists
wq101_alpha77,wq101,conditional,high|low|volume|quote_volume,47,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer",True
wq101_alpha78,wq101,conditional,low|volume|quote_volume,65,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))",True
wq101_alpha83,wq101,conditional,high|low|close|volume|quote_volume,7,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))",True
wq101_alpha85,wq101,conditional,high|low|close|volume,39,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))",True
wq101_alpha86,wq101,conditional,open|close|volume|quote_volume,58,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula",True
wq101_alpha88,wq101,conditional,open|high|low|close|volume,95,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))",True
wq101_alpha92,wq101,conditional,open|high|low|close|volume,49,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))",True
wq101_alpha94,wq101,conditional,volume|quote_volume,82,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)",True
wq101_alpha95,wq101,conditional,open|high|low|volume,81,"WorldQuant 101 Alpha#95: rank(open-ts_min(open,12)) < ts_rank(rank(correlation(sum(mid,19),sum(adv40,19),13))^5,12); boolean panel formula",True
wq101_alpha99,wq101,conditional,high|low|volume,87,"WorldQuant 101 Alpha#99: -1*(rank(correlation(sum(mid,20),sum(adv60,20),9)) < rank(correlation(low,volume,6))); boolean panel formula",True
