factor_id,family,expected_direction,required_columns,lookback_window,formula_proxy,fv_exists
wq101_alpha29,wq101,conditional,close,11,"WorldQuant 101 Alpha#29: nested close-delta rank scale plus ts_rank(delay(-returns,6),5); panel rank semantics preserved",True
wq101_alpha31,wq101,conditional,close|low|volume,31,"WorldQuant 101 Alpha#31: triple-ranked decayed close-delta branch plus short delta rank and sign(scale(correlation(adv20,low,12)))",True
wq101_alpha36,wq101,conditional,open|close|volume|quote_volume,200,"WorldQuant 101 Alpha#36: weighted blend of candle/volume correlation, return rank, VWAP/ADV correlation, and close mean state",True
wq101_alpha39,wq101,conditional,close|volume,251,"WorldQuant 101 Alpha#39: -rank(delta(close,7)*(1-rank(decay_linear(volume/adv20,9))))*(1+rank(sum(returns,250)))",True
wq101_alpha57,wq101,conditional,close|volume|quote_volume,31,"WorldQuant 101 Alpha#57: -(close-vwap)/decay_linear(rank(ts_argmax(close,30)),2); vwap derived from quote_volume/volume",True
wq101_alpha62,wq101,conditional,open|high|low|volume|quote_volume,51,"WorldQuant 101 Alpha#62: -1 boolean gate comparing VWAP/sum(adv20,22) correlation rank with OHLC rank condition",True
wq101_alpha64,wq101,conditional,open|high|low|volume|quote_volume,149,WorldQuant 101 Alpha#64: -1 boolean gate comparing open-low/adv120 correlation rank with blended mid/VWAP delta rank,True
wq101_alpha66,wq101,conditional,open|high|low|volume|quote_volume,17,WorldQuant 101 Alpha#66: negative sum of decayed VWAP-delta rank and decayed intrabar-location ts-rank,True
wq101_alpha71,wq101,conditional,open|low|close|volume|quote_volume,229,WorldQuant 101 Alpha#71: max of decayed close/adv180 correlation ts-rank and decayed low-open/VWAP rank branch,True
wq101_alpha72,wq101,conditional,high|low|volume|quote_volume,49,WorldQuant 101 Alpha#72: ratio of decayed mid/adv40 correlation rank to decayed VWAP/volume ts-rank correlation rank,True
