factor_id,family,expected_direction,formula_proxy,required_columns,lookback_window,data_availability,coverage,missing_rate,best_horizon,best_adj_ic,best_adj_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,ic_win_rate,monthly_stability_summary,quantile_monotonicity_summary,rankic_longshort_consistency,redundancy_level,nearest_existing_factors,decision_bucket,recommended_action,caveats
wq101_alpha29,wq101,conditional,"WorldQuant 101 Alpha#29: nested close-delta rank scale plus ts_rank(delay(-returns,6),5); panel rank semantics preserved",close,11,EXISTS,3313300,0.0,4h,0.01168478,0.099436,72h,-0.00268814,-9.1374,0.5439,STABLE (22/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha31,wq101,conditional,"WorldQuant 101 Alpha#31: triple-ranked decayed close-delta branch plus short delta rank and sign(scale(correlation(adv20,low,12)))",close|low|volume,31,EXISTS,3299292,0.004228,72h,-0.01157381,-0.109686,72h,-0.00109507,-4.0203,0.5252,UNSTABLE (4/25 months positive),NEARLY_MONOTONIC,CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha36,wq101,conditional,"WorldQuant 101 Alpha#36: weighted blend of candle/volume correlation, return rank, VWAP/ADV correlation, and close mean state",open|close|volume|quote_volume,200,EXISTS,3253684,0.017993,24h,0.01785821,0.168531,24h,-0.00026945,-1.9738,0.5689,STABLE (23/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha39,wq101,conditional,"WorldQuant 101 Alpha#39: -rank(delta(close,7)*(1-rank(decay_linear(volume/adv20,9))))*(1+rank(sum(returns,250)))",close|volume,251,EXISTS,3240142,0.02208,4h,0.01844399,0.149463,72h,-0.00302242,-10.1561,0.565,STABLE (23/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha57,wq101,conditional,"WorldQuant 101 Alpha#57: -(close-vwap)/decay_linear(rank(ts_argmax(close,30)),2); vwap derived from quote_volume/volume",close|volume|quote_volume,31,EXISTS,3299143,0.004273,1h,0.02079647,0.179406,72h,-0.00036933,-1.2184,0.5815,STABLE (25/25 months positive),NEARLY_MONOTONIC,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha62,wq101,conditional,"WorldQuant 101 Alpha#62: -1 boolean gate comparing VWAP/sum(adv20,22) correlation rank with OHLC rank condition",open|high|low|volume|quote_volume,51,EXISTS,3294032,0.005815,4h,0.00647054,0.063079,24h,9.435e-05,0.8041,0.5259,MODERATE (19/25 months positive),NON_MONOTONIC (3 sign changes),CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha64,wq101,conditional,WorldQuant 101 Alpha#64: -1 boolean gate comparing open-low/adv120 correlation rank with blended mid/VWAP delta rank,open|high|low|volume|quote_volume,149,EXISTS,3267552,0.013807,72h,-0.00556147,-0.053737,72h,-0.00065629,-2.5837,0.5174,MIXED (11/25 months positive),NON_MONOTONIC (3 sign changes),CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha66,wq101,conditional,WorldQuant 101 Alpha#66: negative sum of decayed VWAP-delta rank and decayed intrabar-location ts-rank,open|high|low|volume|quote_volume,17,EXISTS,2893670,0.12665,4h,0.01133343,0.107856,72h,-0.00218611,-7.5464,0.5465,STABLE (24/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha71,wq101,conditional,WorldQuant 101 Alpha#71: max of decayed close/adv180 correlation ts-rank and decayed low-open/VWAP rank branch,open|low|close|volume|quote_volume,229,EXISTS,2593611,0.217212,4h,0.00569254,0.052816,72h,-0.00045084,-1.8143,0.5242,MODERATE (19/25 months positive),NEARLY_MONOTONIC,DIVERGENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
wq101_alpha72,wq101,conditional,WorldQuant 101 Alpha#72: ratio of decayed mid/adv40 correlation rank to decayed VWAP/volume ts-rank correlation rank,high|low|volume|quote_volume,49,EXISTS,3196289,0.035316,4h,0.00815909,0.081034,72h,0.00042001,1.6952,0.5341,STABLE (23/25 months positive),NON_MONOTONIC (2 sign changes),CONSISTENT,UNKNOWN,,CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
