risk_id,risk_description,severity,likelihood,evidence,mitigation,phase_required_to_resolve
R1,"Thin gross spread (0.051%/hour) — few bad hours can erase days of gains",HIGH,HIGH,"Phase 12B: mean gross spread = 0.000513","Build higher-spread signal or accept thin edge",Phase 13A or signal redesign
R2,"Cost sensitivity — mid-cost net spread is slim (+0.209 over 30 days)",MEDIUM,HIGH,"Phase 12B: mid-cost cumulative = +0.209","Real execution cost validation; negotiate lower fees",Phase 13A
R3,"43-symbol liquidity universe limitation — only 43/266 symbols have volume data",MEDIUM,MEDIUM,"Phase 11B: 43/43 symbols with volume","Expand universe with more complete volume data",Phase 11B-R or data refresh
R4,"30-day monitoring window too short — does not capture different market regimes",MEDIUM,HIGH,"Phase 12B: 721 timestamps over 30 days","Extend to 90-180 days; monitor across bull/bear/sideways",Phase 13A
R5,"Historical backfill vs true future — Phase 12B used historical data not live forward",MEDIUM,HIGH,"Phase 12B is backfill not forward","Phase 13A future paper validation only",Phase 13A
R6,"Label leakage / alignment risk — forward return labels may have subtle timestamp issues",LOW,MEDIUM,"Labels joined by (timestamp + symbol); no shift(-N) used","Audit label alignment; verify no look-ahead bias",Phase 13A
R7,"Data staleness risk — signal panel latest timestamp is 2026-06-13",LOW,MEDIUM,"Phase 12B freshness check: lag within acceptable range","Refresh signal panel periodically",Phase 13A
R8,"Volume outlier risk — BTC/ETH have 100x more volume than small-cap symbols",MEDIUM,LOW,"Phase 12A liquidity overlay: outlier flags present","Cap position size relative to volume; use participation-rate-based sizing",Phase 13A
R9,"Turnover spike risk — occasional 40%+ turnover events",MEDIUM,MEDIUM,"Phase 12B: max turnover = 43.8% with 1 spike alert","Implement turnover cap; smooth signal transitions",Phase 13A
R10,"Execution cost uncertainty — real slippage may differ from diagnostic assumptions",HIGH,MEDIUM,"Phase 11A used fixed bps; real slippage is variable","Real execution cost measurement in Phase 13A",Phase 13A
R11,"Model overfitting — equal-weight may be overfit to this specific dataset",LOW,MEDIUM,"6 factors + equal-weight + no out-of-sample test yet","Out-of-sample validation in Phase 13A",Phase 13A
R12,"PM decision risk — proceeding to execution without sufficient validation",MEDIUM,LOW,"Project has not done forward paper validation","Phase 13A future paper validation required before any execution",Phase 13A
