factor_id,factor_family,source_phase,factor_type,diagnostic_tier,recommended_research_use,redundancy_status,review_flags,phase8_queue_category,evidence_summary,key_risks,suggested_human_review_focus,human_decision_placeholder
mom_5h,momentum,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; redundancy=NOT_IN_REDUNDANCY_GROUP,Investigate direction mismatch before considering; Address flags: DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
mom_10h,momentum,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; REDUNDANT,REDUNDANCY_REVIEW_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; REDUNDANT; redundancy=REDUNDANT_GROUP_MEMBER,Assess redundancy group role and uniqueness; Address flags: DIRECTION_MISMATCH; REDUNDANT,PENDING_HUMAN_REVIEW
mom_40h,momentum,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; redundancy=NOT_IN_REDUNDANCY_GROUP,Investigate direction mismatch before considering; Address flags: DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
rev_3h,reversal,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; redundancy=NOT_IN_REDUNDANCY_GROUP,Investigate direction mismatch before considering; Address flags: DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
rev_10h,reversal,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; redundancy=REPRESENTATIVE_CANDIDATE,Investigate direction mismatch before considering; Address flags: DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
rev_24h,reversal,PHASE_7B_BATCH1,ohlcv_derived,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,diagnostic_tier=TIER_2_PROMISING_BUT_NEEDS_REVIEW; research_use=REVIEW_DIRECTION_OR_FORMULA,review_flags=DIRECTION_MISMATCH; redundancy=REPRESENTATIVE_CANDIDATE,Investigate direction mismatch before considering; Address flags: DIRECTION_MISMATCH,PENDING_HUMAN_REVIEW
vol_5h,volatility,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=CORE_DIAGNOSTIC_CANDIDATE,review_flags=NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,"Verify formula, expected_direction, and RankIC stability; Address flags: NONE",PENDING_HUMAN_REVIEW
vol_40h,volatility,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=CORE_DIAGNOSTIC_CANDIDATE,review_flags=NONE; redundancy=REPRESENTATIVE_CANDIDATE,"Verify formula, expected_direction, and RankIC stability; Address flags: NONE",PENDING_HUMAN_REVIEW
vol_ratio_5_20,volatility,PHASE_7B_BATCH1,ohlcv_derived,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,NOT_IN_REDUNDANCY_GROUP,WEAK_SIGNAL,WEAK_OR_LOW_PRIORITY,diagnostic_tier=TIER_3_WEAK_DIAGNOSTIC; research_use=WEAK_DIAGNOSTIC_ONLY,review_flags=WEAK_SIGNAL; redundancy=NOT_IN_REDUNDANCY_GROUP; weak_diagnostic_signal,Confirm low priority or find improvement path; Address flags: WEAK_SIGNAL,PENDING_HUMAN_REVIEW
range_1h,range_position,PHASE_7B_BATCH1,ohlcv_derived,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,diagnostic_tier=TIER_1_STABLE_DIAGNOSTIC; research_use=CORE_DIAGNOSTIC_CANDIDATE,review_flags=NONE; redundancy=NOT_IN_REDUNDANCY_GROUP,"Verify formula, expected_direction, and RankIC stability; Address flags: NONE",PENDING_HUMAN_REVIEW
