candidate_id,candidate_family,candidate_description,required_data_type,required_columns,expected_direction,direction_rationale,data_readiness,ops_readiness,leakage_risk,redundancy_risk_vs_v0_3,implementation_complexity,pm_recommendation,reason
B3_001,taker_imbalance,"taker_buy_ratio_20h: rolling mean of taker_buy_volume / total_volume, 20h window",taker_buy_sell_volume,"taker_buy_volume, volume (from klines)",positive,"Higher taker buy ratio = aggressive buying pressure, expect positive forward return",READY,NEEDS_OPS,LOW,"LOW — new family, no overlap with existing",LOW,PROPOSE_FOR_PHASE7K,Data already available in klines. New information dimension. Low ops overhead.
B3_002,taker_imbalance,taker_buy_zscore_20h: z-score of taker_buy_ratio over 20h rolling window,taker_buy_sell_volume,"taker_buy_volume, volume",positive,Unusually high taker buy ratio relative to recent mean = momentum signal,READY,NEEDS_OPS,LOW,LOW,LOW,PROPOSE_FOR_PHASE7K,"Same data as B3_001, different transform. z-score adds cross-sectional normalization."
B3_003,taker_imbalance,taker_buy_delta_5h: 5h change in taker_buy_ratio,taker_buy_sell_volume,"taker_buy_volume, volume",positive,Increasing taker buy ratio = rising demand momentum,READY,NEEDS_OPS,LOW,LOW,LOW,PROPOSE_FOR_PHASE7K,Shorter horizon variant. Tests whether change matters more than level.
B3_004,funding_rate,"funding_rate_level_20h: rolling mean of last_funding_rate, 20h window (5 funding events)",funding_rate,"last_funding_rate, calc_time",negative,"High funding = crowded long, expect mean reversion",PARTIAL,NEEDS_OPS,LOW,LOW — new family,MEDIUM,PROPOSE_AFTER_DATA_CONTRACT,"Data exists (536 symbols, 2020+) but needs ingestion pipeline: unzip→parquet, 8h→1h alignment, join to OHLCV grid."
B3_005,funding_rate,funding_rate_zscore_80h: z-score of funding_rate over 80h (20 funding events),funding_rate,"last_funding_rate, calc_time",negative,Extreme funding relative to recent mean = crowded positioning,PARTIAL,NEEDS_OPS,LOW,LOW,MEDIUM,PROPOSE_AFTER_DATA_CONTRACT,"Same data as B3_004, longer lookback for z-score."
B3_006,funding_rate,funding_rate_change_24h: 24h change in funding rate,funding_rate,"last_funding_rate, calc_time",negative,"Rapidly rising funding = accelerating crowding, expect reversion",PARTIAL,NEEDS_OPS,LOW,LOW,MEDIUM,PROPOSE_AFTER_DATA_CONTRACT,Change-based variant. Same data contract dependency.
B3_007,open_interest,oi_change_20h: 20h change in open interest,open_interest,open_interest,positive,Rising OI + rising price = trend continuation; rising OI + falling price = short buildup,NO,NO,LOW,LOW — new family,HIGH,DEFER_DATA,No local OI data. Requires full data ingestion pipeline.
B3_008,open_interest,oi_zscore_40h: z-score of OI change over 40h,open_interest,open_interest,negative,"Extreme OI buildup = crowded positioning, expect unwind",NO,NO,LOW,LOW,HIGH,DEFER_DATA,Same data dependency as B3_007.
B3_009,basis_premium,basis_20h: rolling mean of (mark_price - index_price) / index_price,basis_premium,"mark_price, index_price",negative,"High basis = overleveraged long, expect reversion",NO,NO,LOW,LOW — new family,HIGH,DEFER_DATA,No local mark/index price data. Requires 2 new data feeds.
B3_010,liquidation,liq_imbalance_20h: rolling sum of (long_liq - short_liq) / total_liq,liquidation,"long_liquidation_volume, short_liquidation_volume",negative,"High long liquidation = forced selling, expect continuation down",NO,NO,LOW,LOW — new family,HIGH,DEFER_DATA,"No local liquidation data. Real-time stream only, no historical bulk."
B3_011,orderbook_microstructure,spread_mean_20h: rolling mean of bid-ask spread / mid_price,bid_ask_spread,"best_bid, best_ask",negative,"Wide spread = low liquidity, high cost, expect negative return",NO,NO,LOW,LOW — new family,HIGH,DEFER_DATA,No historical orderbook data. Real-time snapshots only. High infrastructure cost.
B3_012,wq101_expansion,wq101_alpha01: rank(vwap - close) — WorldQuant Alpha101 #1,OHLCV,"open, high, low, close, volume",positive,Alpha101 #1: negative close-to-VWAP gap = oversold,YES,YES,LOW,MODERATE — may overlap with price_position family,LOW,PROPOSE_FOR_PHASE7K,"OHLCV-only, no new data needed. Adds WQ101 structure. But may overlap with existing price_position factors."
B3_013,wq101_expansion,"wq101_alpha06: -correlation(open, volume, 10) — Alpha101 #6",OHLCV,"open, volume",negative,Negative open-volume correlation = price moves on thin volume = fragile,YES,YES,LOW,LOW — new structure,LOW,PROPOSE_FOR_PHASE7K,OHLCV-only. New correlation structure not in current library.
B3_014,wq101_expansion,"wq101_alpha09: sign(delta(close,1)) * -delta(close-close_delay(1),1) — momentum contrarian hybrid",OHLCV,close,conditional,Hybrid momentum-contrarian; direction unclear a priori,YES,YES,LOW,MODERATE — may overlap with momentum/reversal families,LOW,DEFER_DIRECTION_UNCLEAR,OHLCV-only but expected_direction is conditional. Defer until direction clarified.
