data_type,candidate_factor_family,data_source_defined,raw_data_exists,schema_defined,known_at_defined,timestamp_alignment_defined,symbol_mapping_defined,historical_coverage_sufficient,usable_for_phase7k,blocking_issues,recommended_next_step
funding_rate,funding_rate,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,"Raw zipped CSV exists (536 symbols, 2020-01+). Schema: calc_time/funding_interval_hours/last_funding_rate. Known_at = calc_time. Need to build ingestion pipeline (unzip→parquet→factor_values join). Timestamp is 8h/4h interval, not hourly — need alignment to 1h grid.",DEFINE_DATA_CONTRACT
taker_buy_sell_volume,taker_imbalance,YES,YES,YES,YES,YES,YES,YES,YES,taker_buy_volume and taker_buy_quote_volume exist in klines data. taker_sell = total_volume - taker_buy. Already in 1h grid. No additional ingestion needed — can compute from existing klines.,READY_FOR_CANDIDATE_SELECTION
open_interest,open_interest,YES,NO,NO,NO,NO,NO,NO,NO,Binance has OI endpoint but no local data ingested. Need to add data ingestion pipeline first.,ADD_DATA_INGESTION
basis_premium,basis_premium,PARTIAL,NO,NO,NO,NO,NO,NO,NO,"Basis = (futures_price - index_price). Index_price and mark_price not locally available. Could derive from klines close vs a separate index feed, but index feed not ingested.",ADD_DATA_INGESTION
mark_price,basis_premium,YES,NO,NO,NO,NO,NO,NO,NO,Binance markPrice endpoint exists but no local data.,ADD_DATA_INGESTION
index_price,basis_premium,YES,NO,NO,NO,NO,NO,NO,NO,Binance indexPrice endpoint exists but no local data.,ADD_DATA_INGESTION
liquidation,liquidation,YES,NO,NO,NO,NO,NO,NO,NO,Binance forceOrder stream exists. No local ingestion. Real-time only (no historical bulk endpoint for perps).,ADD_DATA_INGESTION
orderbook_depth,orderbook_microstructure,YES,NO,NO,NO,NO,NO,NO,NO,Binance depth endpoint exists (REST + WebSocket). No historical snapshots. Real-time only. High infrastructure cost.,DEFER
bid_ask_spread,orderbook_microstructure,YES,NO,NO,NO,NO,NO,NO,NO,Can derive from orderbook depth. Same infrastructure constraint.,DEFER
long_short_ratio,long_short_ratio,YES,NO,NO,NO,NO,NO,NO,NO,Binance has longShortRatio endpoint. No local data ingested.,ADD_DATA_INGESTION
borrow_rate,funding_rate,PARTIAL,NO,NO,NO,NO,NO,NO,NO,Margin borrow rate data not available for perps. Cross-margin only. Low priority.,DEFER
