check,status,detail
direction_consistency_check_exists,PASS,
bucket_return_file_exists,PASS,
inverted_diagnostic_exists,PASS,
reconciliation_file_exists,PASS,
no_signal_flipped,PASS,Diagnostic only; no signal replaced
no_alpha_claim,PASS,All outputs diagnostic
no_cost_slippage_capacity,PASS,Phase 10A-R is diagnosis only
no_paper_live_trading,PASS,
phase10a_summaries_not_regenerated,PASS,Original Phase 10A summaries preserved; root cause documented
backtest_script_no_shift_minus,PASS,
phase11_not_started,PASS,
phase12_not_started,PASS,
phase13_not_started,PASS,
