required_op,needed_by_factors,currently_supported,supporting_file,gap_type,implementation_priority,notes
cross_sectional_rank,xs_rank_range; xs_rank_mom_20h; xs_rank_bb,NO,needs new cross_sectional_rank function,SMALL_EXTENSION,HIGH,
delta,mom_accel_20h; rsi_7h; rsi_28h; xs_rank_rsi,YES,scripts/factor_ops.py,NO_GAP,N/A,
ema,ma_gap_20_80; ema_12_26_gap; adx_14h; a158_kbdr; a158_kcrd,YES,scripts/factor_ops.py,NO_GAP,N/A,
rolling_max,stoch_k_14h; williams_r_14h; range_breakout_20h; range_breakdown_20h; consolidation_20h,YES,scripts/factor_ops.py,NO_GAP,N/A,
rolling_mean,mom_80h; mom_accel_20h; rev_48h; vol_ratio_10_40; vol_ma_ratio_5_20,YES,scripts/factor_ops.py,NO_GAP,N/A,
rolling_min,stoch_k_14h; williams_r_14h; range_breakout_20h; range_breakdown_20h; consolidation_20h,YES,scripts/factor_ops.py,NO_GAP,N/A,
rolling_std,mom_80h; rev_48h; vol_ratio_10_40; vol_ma_ratio_5_20; qvol_ma_ratio_5_20,YES,scripts/factor_ops.py,NO_GAP,N/A,
signed_power,wq101_alpha01; wq101_alpha02; wq101_alpha03; wq101_alpha06; wq101_alpha08,YES,scripts/factor_ops.py,NO_GAP,N/A,
true_range,adx_14h,YES,scripts/factor_ops.py,NO_GAP,N/A,
ts_rank,wq101_alpha01; wq101_alpha02; wq101_alpha03; wq101_alpha06; wq101_alpha08,YES,scripts/factor_ops.py,NO_GAP,N/A,
zscore,vol_ratio_10_40; vol_ma_ratio_5_20; qvol_ma_ratio_5_20; wq101_alpha01; wq101_alpha02,YES,scripts/factor_ops.py,NO_GAP,N/A,
