signal_id,horizon,original_rankic_direction,original_mean_spread_direction,median_spread_direction,winsorized_spread_direction,tail_trim_spread_direction,inverted_rankic_direction,inverted_spread_direction,proposed_phase10d_variants,phase10d_inversion_allowed,phase10d_bucket0_guard_required,final_policy_status,notes
signal_v0_core_only,1h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,"original_no_guard, original_bucket0_guard",FALSE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive; median spread positive; evaluate original with bucket 0 guard
signal_v0_core_only,4h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,"original_no_guard, original_bucket0_guard",FALSE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive; median spread positive; evaluate original with bucket 0 guard
signal_v0_core_only,24h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,"original_no_guard, original_bucket0_guard, inverted_no_guard, inverted_bucket0_guard",TRUE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive; inversion review allowed because 10A-R inverted RankIC also positive
signal_v0_core_only,72h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,"original_no_guard, original_bucket0_guard, inverted_no_guard, inverted_bucket0_guard",TRUE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive; inversion review allowed because 10A-R inverted RankIC also positive
signal_v0_pm_full_structured,1h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,"original_no_guard, original_bucket0_guard",FALSE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive; median spread positive; evaluate original with bucket 0 guard
signal_v0_pm_full_structured,4h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,"original_no_guard, original_bucket0_guard",FALSE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive; median spread positive; evaluate original with bucket 0 guard
signal_v0_pm_full_structured,24h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,"original_no_guard, original_bucket0_guard, inverted_no_guard, inverted_bucket0_guard",TRUE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive; inversion review allowed
signal_v0_pm_full_structured,72h,POSITIVE,NEGATIVE,ZERO_OR_NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,"original_no_guard, original_bucket0_guard, inverted_no_guard, inverted_bucket0_guard",TRUE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive but median spread ~0; inversion review allowed
signal_v0_family_balanced_diagnostic,1h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,"original_no_guard, original_bucket0_guard",FALSE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive; median spread positive; evaluate original with bucket 0 guard
signal_v0_family_balanced_diagnostic,4h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,"original_no_guard, original_bucket0_guard",FALSE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive; median spread positive; evaluate original with bucket 0 guard
signal_v0_family_balanced_diagnostic,24h,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,"original_no_guard, original_bucket0_guard, inverted_no_guard, inverted_bucket0_guard",TRUE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive; inversion review allowed
signal_v0_family_balanced_diagnostic,72h,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,"original_no_guard, original_bucket0_guard, inverted_no_guard, inverted_bucket0_guard",TRUE,TRUE,REVIEW_PHASE10D,Canonical 10A RankIC positive but median spread negative; inversion review allowed
