check_id,check_name,status,notes
1,evaluate_factors.py supports output safety guard,PASS,--output-suffix and --output-dir added; partial runs blocked without target
2,full run canonical output behavior preserved,no --factor-ids means full run; writes to canonical factor_level_evaluation/
3,partial run without output target blocked,PASS,exit 1 with ERROR message instructing to use --output-suffix or --output-dir
4,partial run with output suffix allowed,PASS,--factor-ids + --output-suffix runs without safety error
5,partial run does not overwrite canonical outputs,PASS,suffixed files written to different names; canonical files untouched
6,partial manifest marks run_mode=partial,PASS,run_mode=partial + canonical_output=false + output_safety=scratch_only
7,full manifest marks run_mode=full,PASS,run_mode=full + canonical_output=true + output_safety=canonical
8,output suffix files named clearly,PASS,factor_level_rankic_summary_{suffix}.csv etc.
9,unit test file added,PASS,tests/unit/test_evaluate_factors_output_safety.py
10,output safety unit tests pass,PASS,10/10 passed in 115.83s
11,RankIC calculation logic unchanged,PASS,rank_ic_from_boundaries and summarize_ic untouched
12,direction adjustment logic unchanged,PASS,adj = -raw if negative else raw; unchanged
13,registry unchanged,PASS,factor_formula_registry.py not modified by this phase
14,factor_values unchanged,PASS,only read existing parquet files
15,labels unchanged,PASS,labels.parquet not modified
16,signal panel unchanged,PASS,phase9b_signal_panel.parquet not modified
17,signal construction unchanged,PASS,build_phase9b_signal_panel.py not modified
18,no new factors added,PASS,53 factors unchanged
19,no Phase 13,PASS,not started
20,no alpha claim,PASS,engineering guard only
21,no production claim,PASS,engineering guard only
