factor_id,factor_family,diagnostic_tier,recommended_research_use,phase8_queue_category,pm_decision,approved_status,decision_rationale
mom_5h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
mom_10h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review
mom_40h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
rev_3h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
rev_10h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
rev_24h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
vol_ratio_5_20,volatility,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review
range_24h,range_position,TIER_1_STABLE_DIAGNOSTIC,REDUNDANCY_REVIEW,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review
price_pos_72h,price_position,TIER_3_WEAK_DIAGNOSTIC,REDUNDANCY_REVIEW,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review
vol_zscore_20h,volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review
vol_zscore_48h,volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review
qvol_zscore_20h,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review
qvol_zscore_48h,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
ma_gap_5_20,trend_ma,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
ma_gap_10_40,trend_ma,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review
breakout_dist_20h,breakout,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review
breakout_dist_48h,breakout,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
candle_body,intraday_candle,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_TURNOVER_RISK,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
candle_wick_upper,intraday_candle,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
candle_wick_lower,intraday_candle,TIER_3_WEAK_DIAGNOSTIC,REVIEW_DIRECTION_OR_FORMULA,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review
xs_rank_ret_1h,cross_sectional_normalized,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_TURNOVER_RISK,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
ema_12_26_gap,technical_indicators,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review
williams_r_14h,technical_indicators,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review
mom_accel_20h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
qvol_ma_ratio_5_20,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review
ma_gap_20_80,trend_ma,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review
taker_buy_ratio_20h,taker_imbalance,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
taker_buy_zscore_20h,taker_imbalance,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review
taker_buy_delta_5h,taker_imbalance,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review
funding_rate_level_20h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review
funding_rate_zscore_80h,funding_rate,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review
funding_rate_change_24h,funding_rate,TIER_4_UNSTABLE_OR_SIGN_FLIP,LOW_PRIORITY_RESEARCH,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review
