factor_id,factor_name,factor_family,formula_description,required_columns,lookback_window,expected_direction,direction_policy,implementation_complexity,source,priority_batch,status,notes
mom_5h,5h Momentum,momentum,close/close_lag_5-1,close,5,positive,theory_prior,low,theory,7B,selected_for_7B,Short-horizon momentum
mom_10h,10h Momentum,momentum,close/close_lag_10-1,close,10,positive,theory_prior,low,theory,7B,selected_for_7B,Medium-horizon momentum
mom_40h,40h Momentum,momentum,close/close_lag_40-1,close,40,positive,theory_prior,low,theory,7B,selected_for_7B,Long-horizon momentum
mom_80h,80h Momentum,momentum,close/close_lag_80-1,close,80,positive,theory_prior,low,theory,7B,candidate,Very-long-horizon momentum
mom_accel_20h,Momentum Acceleration,momentum,mom_20h-mom_20h_lag_5,close,25,positive,theory_prior,low,theory,7B,candidate,Momentum rate of change
rev_3h,3h Reversal,reversal,-(close/close_lag_3-1),close,3,negative,theory_prior,low,theory,7B,selected_for_7B,Ultra-short reversal
rev_10h,10h Reversal,reversal,-(close/close_lag_10-1),close,10,negative,theory_prior,low,theory,7B,selected_for_7B,Medium reversal
rev_24h,24h Reversal,reversal,-(close/close_lag_24-1),close,24,negative,theory_prior,low,theory,7B,selected_for_7B,Overnight reversal
rev_48h,48h Reversal,reversal,-(close/close_lag_48-1),close,48,negative,theory_prior,low,theory,7B,candidate,Multi-day reversal
vol_5h,5h Realized Vol,volatility,"std(ret_1h, 5)",close,5,negative,theory_prior,low,theory,7B,selected_for_7B,Short vol
vol_40h,40h Realized Vol,volatility,"std(ret_1h, 40)",close,40,negative,theory_prior,low,theory,7B,selected_for_7B,Long vol
vol_ratio_5_20,Vol Ratio 5/20,volatility,"std(ret_1h, 5)/std(ret_1h, 20)",close,20,conditional,structural_prior,low,theory,7B,selected_for_7B,Vol term structure
vol_ratio_10_40,Vol Ratio 10/40,volatility,"std(ret_1h, 10)/std(ret_1h, 40)",close,40,conditional,structural_prior,low,theory,7B,candidate,Vol term structure medium
range_1h,1h Range,range_position,(high-low)/close,high;low;close,1,conditional,structural_prior,low,theory,7B,selected_for_7B,Single-bar range
range_4h,4h Range,range_position,(HH4-LL4)/close,high;low;close,4,conditional,structural_prior,low,theory,7B,selected_for_7B,4h range
range_24h,24h Range,range_position,(HH24-LL24)/close,high;low;close,24,conditional,structural_prior,low,theory,7B,selected_for_7B,Daily range
price_pos_24h,Price Position 24h,price_position,(close-LL24)/(HH24-LL24+eps),high;low;close,24,conditional,structural_prior,low,theory,7B,selected_for_7B,Where in 24h range
price_pos_72h,Price Position 72h,price_position,(close-LL72)/(HH72-LL72+eps),high;low;close,72,conditional,structural_prior,low,theory,7B,selected_for_7B,Where in 72h range
vol_zscore_20h,Volume Z-Score 20h,volume_liquidity,(vol-SMA20)/STD20,volume,20,positive,theory_prior,low,theory,7B,selected_for_7B,Volume anomaly
vol_zscore_48h,Volume Z-Score 48h,volume_liquidity,(vol-SMA48)/STD48,volume,48,positive,theory_prior,low,theory,7B,selected_for_7B,Volume anomaly longer
vol_ma_ratio_5_20,Vol MA Ratio 5/20,volume_liquidity,"SMA(vol, 5)/SMA(vol, 20)",volume,20,positive,theory_prior,low,theory,7B,candidate,Volume momentum
qvol_zscore_20h,Quote Volume Z-Score 20h,quote_volume_liquidity,(qv-SMA20)/STD20,quote_volume,20,positive,theory_prior,low,theory,7B,selected_for_7B,Quote volume anomaly
