check_name,status,detail
design_only,PASS,No signal v1 implemented; design spec and policy tables only
no_signal_v1_implemented,PASS,No signal v1 parquet created
no_backtest_run,PASS,No backtest script executed
no_phase11_started,PASS,Phase 11 NOT STARTED
phase10d_protocol_exists,PASS,phase10c_phase10d_evaluation_protocol.csv created with 20 items
policy_options_created,PASS,phase10c_tail_policy_options.csv with 6 policies
horizon_direction_policy_created,PASS,phase10c_horizon_direction_policy.csv with 12 rows
design_spec_created,PASS,phase10c_signal_v1_design_spec.md created
quality_no_fail,PASS,All checks PASS
no_cost_slippage,PASS,No cost or slippage analysis
no_alpha_claim,PASS,No alpha claim made
