factor_id,factor_family,diagnostic_tier,recommended_research_use,phase8_queue_category,pm_decision,approved_status,decision_rationale,decision_scope
mom_5h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
mom_10h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review,Phase 8B PM candidate-review decision application
mom_40h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
rev_3h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
rev_10h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
rev_24h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
vol_5h,volatility,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,PHASE8_READY_FOR_HUMAN_REVIEW,APPROVE_CANDIDATE_REVIEW,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,Phase 8B PM candidate-review decision application
vol_40h,volatility,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,PHASE8_READY_FOR_HUMAN_REVIEW,APPROVE_CANDIDATE_REVIEW,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,Phase 8B PM candidate-review decision application
vol_ratio_5_20,volatility,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review,Phase 8B PM candidate-review decision application
range_1h,range_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,PHASE8_READY_FOR_HUMAN_REVIEW,APPROVE_CANDIDATE_REVIEW,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,Phase 8B PM candidate-review decision application
range_4h,range_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,PHASE8_READY_FOR_HUMAN_REVIEW,APPROVE_CANDIDATE_REVIEW,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,Phase 8B PM candidate-review decision application
range_24h,range_position,TIER_1_STABLE_DIAGNOSTIC,REDUNDANCY_REVIEW,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review,Phase 8B PM candidate-review decision application
price_pos_24h,price_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,PHASE8_READY_FOR_HUMAN_REVIEW,APPROVE_CANDIDATE_REVIEW,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,Phase 8B PM candidate-review decision application
price_pos_72h,price_position,TIER_3_WEAK_DIAGNOSTIC,REDUNDANCY_REVIEW,WEAK_OR_LOW_PRIORITY,PARK_WEAK_OR_LOW_PRIORITY,DIAGNOSTIC_PROBE,Weak diagnostic signal or low priority; parked for future review,Phase 8B PM candidate-review decision application
vol_zscore_20h,volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review,Phase 8B PM candidate-review decision application
vol_zscore_48h,volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review,Phase 8B PM candidate-review decision application
qvol_zscore_20h,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review,Phase 8B PM candidate-review decision application
qvol_zscore_48h,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
ma_gap_5_20,trend_ma,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
ma_gap_10_40,trend_ma,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review,Phase 8B PM candidate-review decision application
breakout_dist_20h,breakout,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANCY_REVIEW_FIRST,PARK_REDUNDANCY_REVIEW,DIAGNOSTIC_PROBE,Redundancy group membership needs resolution before candidate review,Phase 8B PM candidate-review decision application
breakout_dist_48h,breakout,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
candle_body,intraday_candle,TIER_2_PROMISING_BUT_NEEDS_REVIEW,MONITOR_TURNOVER_RISK,REVIEW_DIRECTION_FIRST,PARK_DIRECTION_REVIEW,DIAGNOSTIC_PROBE,Direction mismatch or sign flip requires investigation before candidate review,Phase 8B PM candidate-review decision application
