candidate_id,prior_id,source_family,original_name,factor_family,required_data,crypto_transferability_bucket,adaptation_mode,duplicate_of,phase2e_action,priority,reason,status
wq101_alpha101,wq101_101,WQ101,Alpha#101,intraday_position,open;high;low;close,ohlcv_direct,direct_formula,,implement,HIGH,Simplest WQ101 formula; direct OHLCV; high interpretability,SHORTLIST_ONLY
wq101_alpha06,wq101_06,WQ101,Alpha#6,volume_price_corr,open;volume,ohlcv_direct,cross_sectional_rank,,implement,HIGH,Volume-open correlation; cross-sectional rank preserves universe structure,SHORTLIST_ONLY
wq101_alpha12,wq101_12,WQ101,Alpha#12,volume_price_momentum,volume;close,ohlcv_direct,direct_formula,,implement,HIGH,Sign of vol change × negative close change; pure OHLCV,SHORTLIST_ONLY
wq101_alpha53,wq101_53,WQ101,Alpha#53,intraday_position_delta,close;high;low,ohlcv_direct,direct_formula,,implement,HIGH,Intraday price position change; directional,SHORTLIST_ONLY
wq101_alpha01,wq101_01,WQ101,Alpha#1,conditional_momentum,returns;close,ohlcv_direct,cross_sectional_rank,,implement,MEDIUM,Conditional volatility-momentum; needs Ts_ArgMax,SHORTLIST_ONLY
wq101_alpha34,wq101_34,WQ101,Alpha#34,return_momentum,returns,ohlcv_direct,direct_formula,,implement,MEDIUM,Conditional sign of return momentum; returns only,SHORTLIST_ONLY
wq101_alpha21,wq101_21,WQ101,Alpha#21,mean_reversion,close;volume,ohlcv_direct,direct_formula,,implement,MEDIUM,Close vs SMA + volume correlation; mean reversion signal,SHORTLIST_ONLY
wq101_alpha54,wq101_54,WQ101,Alpha#54,intraday_return,open;close;volume,ohlcv_direct,direct_formula,,implement,MEDIUM,Intraday return-volume correlation,SHORTLIST_ONLY
q158_ret_5d,q158_ret_5d,Alpha158,Return 5-bar,momentum,close,ohlcv_direct,direct_formula,,implement,HIGH,Standard medium-horizon return,SHORTLIST_ONLY
q158_ma_ratio_5d,q158_ma_ratio_5d,Alpha158,Price/MA5 ratio,mean_reversion,close,ohlcv_direct,direct_formula,,implement,HIGH,Short-term mean reversion signal,SHORTLIST_ONLY
q158_vol_ratio_5d,q158_vol_ratio_5d,Alpha158,Volume ratio 5-bar,volume_surge,volume,ohlcv_direct,direct_formula,,implement,MEDIUM,Volume surge detection,SHORTLIST_ONLY
q158_high_low_range,q158_high_low_range,Alpha158,High-Low Range,volatility,high;low;close,ohlcv_direct,direct_formula,,implement,HIGH,Intraday range measure; volatility proxy,SHORTLIST_ONLY
tech_macd,tech_macd,Technical,MACD Signal,trend,close,ohlcv_direct,direct_formula,,implement,HIGH,Standard trend signal; well-understood,SHORTLIST_ONLY
tech_atr,tech_atr,Technical,ATR 14,volatility,high;low;close,ohlcv_direct,direct_formula,,implement,HIGH,Volatility in price units; useful for position sizing,SHORTLIST_ONLY
tech_stochastic,tech_stochastic,Technical,Stochastic %K,oscillator,high;low;close,ohlcv_direct,direct_formula,,implement,MEDIUM,Overbought/oversold oscillator,SHORTLIST_ONLY
tech_williams_r,tech_williams_r,Technical,Williams %R,oscillator,high;low;close,ohlcv_direct,direct_formula,,implement,MEDIUM,Inverse of Stochastic; overbought/oversold,SHORTLIST_ONLY
