factor_id,factor_family,diagnostic_tier,recommended_research_use,redundancy_status,review_flags,phase8_queue_category,phase8_notes
mom_5h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
mom_10h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; REDUNDANT,REDUNDANCY_REVIEW_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
mom_40h,momentum,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
rev_3h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
rev_10h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
rev_24h,reversal,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
vol_5h,volatility,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
vol_40h,volatility,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
vol_ratio_5_20,volatility,TIER_3_WEAK_DIAGNOSTIC,WEAK_DIAGNOSTIC_ONLY,NOT_IN_REDUNDANCY_GROUP,WEAK_SIGNAL,WEAK_OR_LOW_PRIORITY,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
range_1h,range_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
range_4h,range_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
range_24h,range_position,TIER_1_STABLE_DIAGNOSTIC,REDUNDANCY_REVIEW,REDUNDANT_GROUP_MEMBER,REDUNDANT,REDUNDANCY_REVIEW_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
price_pos_24h,price_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,PHASE8_READY_FOR_HUMAN_REVIEW,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
price_pos_72h,price_position,TIER_3_WEAK_DIAGNOSTIC,REDUNDANCY_REVIEW,REDUNDANT_GROUP_MEMBER,WEAK_SIGNAL; REDUNDANT,WEAK_OR_LOW_PRIORITY,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
vol_zscore_20h,volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANCY_REVIEW_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
vol_zscore_48h,volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANCY_REVIEW_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
qvol_zscore_20h,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REDUNDANT_GROUP_MEMBER,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE; REDUNDANT,REDUNDANCY_REVIEW_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
qvol_zscore_48h,quote_volume_liquidity,TIER_4_UNSTABLE_OR_SIGN_FLIP,REVIEW_DIRECTION_OR_FORMULA,REPRESENTATIVE_CANDIDATE,DIRECTION_MISMATCH; HIGH_TURNOVER; SIGN_FLIP_OR_UNSTABLE,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
ma_gap_5_20,trend_ma,TIER_2_PROMISING_BUT_NEEDS_REVIEW,REVIEW_DIRECTION_OR_FORMULA,NOT_IN_REDUNDANCY_GROUP,DIRECTION_MISMATCH,REVIEW_DIRECTION_FIRST,"diagnostic-only; PHASE8_READY_FOR_HUMAN_REVIEW is a review queue label, not a status promotion"
