check_id,check_name,status,evidence,notes
QC-01,README has current factor-library mainline at top,PASS,README.md lines 1-35: Current Mainline section with 53 factors/47 FV/6 missing/10 signal/3 variants/4 horizons,Links to START_HERE.md, CONTROL_CENTER, FILE_STATUS_REGISTER, ORPHAN_WORK_AUDIT
QC-02,README keeps old M1/Xiaomi/Backtrader content as historical,PASS,README.md "Historical / Adjacent Research" section with demoted M1 content,All original content preserved under demoted header
QC-03,START_HERE.md exists,PASS,docs/factor_library/START_HERE.md created,Bilingual CN+EN, ~120 lines
QC-04,START_HERE.md mentions the full current pipeline,PASS,START_HERE.md pipeline map: raw→universe→labels→registry→factor_values→factor_eval→catalog→signal→signal_eval→cost/paper→reports,12-step pipeline documented
QC-05,actual-script-map.html contains Factor-Level Evaluation as separate node,PASS,actual-script-map.html SVG node 6: "Factor-Level Evaluation / 因子层评价",evaluate_factors.py + check_factor_ic_parity.py as separate node
QC-06,actual-script-map.html mentions scripts/evaluate_factors.py,PASS,Node 6 SVG and JS data: evaluate_factors.py listed in scripts array,Also in detailed card section 6
QC-07,actual-script-map.html mentions scripts/check_factor_registry_integrity.py,PASS,Node 7 JS data and card section: check_factor_registry_integrity.py listed,Part of Catalog & Direction Audit node
QC-08,actual-script-map.html mentions scripts/build_factor_catalog.py,PASS,Node 7 JS data and card section: build_factor_catalog.py listed,Part of Catalog & Direction Audit node
QC-09,actual-script-map.html mentions scripts/check_factor_catalog_integrity.py,PASS,Node 7 JS data and card section: check_factor_catalog_integrity.py listed,Part of Catalog & Direction Audit node
QC-10,actual-script-map.html mentions scripts/audit_factor_direction_semantics.py,PASS,Node 7 JS data and card section: audit_factor_direction_semantics.py listed,Part of Catalog & Direction Audit node
QC-11,actual-script-map.html includes orphan/deprecated/archive section,PASS,SVG node 12 + detailed card section 12: DEPRECATED_STALE + ORPHAN + HISTORICAL tables,Includes evaluate_factors_dynamic_universe.py, alphalens scripts, audit scripts, PHASE_12D_*.md, _archive/
QC-12,actual-script-map.html includes FILE_STATUS_REGISTER.csv,PASS,Card section 12 alert text links to FILE_STATUS_REGISTER.csv on GitHub,Link: github.com/jerry0012009/momentum/blob/main/docs/factor_library/FILE_STATUS_REGISTER.csv
QC-13,actual-script-map.html includes ORPHAN_WORK_AUDIT.md,PASS,Card section 12 alert text links to ORPHAN_WORK_AUDIT.md on GitHub,Link: github.com/jerry0012009/momentum/blob/main/docs/factor_library/ORPHAN_WORK_AUDIT.md
QC-14,actual-script-map.html has no malformed leftover fragment around evaluate_signals.py/evaluate_factors.py,PASS,Full rewrite of SVG+JS — no HTML fragments in JS string literals,Old corruption at line 163-164 (HTML mixed into JS) eliminated by complete rewrite
QC-15,Public navigation remains clean,PASS,index.html unchanged — 3 entry cards: code structure/factor evaluation/signal evaluation,No archive pages added to navigation
QC-16,No factor formulas modified,PASS,git diff shows no changes to scripts/factor_formula_registry.py,Forbidden file not touched
QC-17,No signal construction modified,PASS,git diff shows no changes to scripts/build_phase9b_signal_panel.py,Forbidden file not touched
QC-18,No labels modified,PASS,git diff shows no changes to scripts/build_labels.py,Forbidden file not touched
QC-19,No raw data modified,PASS,git diff shows no changes to data/cache/,No parquet files modified
QC-20,No parquet data modified,PASS,find data -name '*.parquet' -newer returns empty,Verified no parquet files newer than handoff doc
QC-21,No production claim,PASS,grep -i 'production ready|tradeable alpha|live trading' returns no matches in README.md/START_HERE.md/actual-script-map.html,Only disclaimers present
QC-22,No alpha claim,PASS,grep returns no alpha claims,Only 'NOT alpha-verified' disclaimer in README
QC-23,No live trading claim,PASS,grep returns no live trading claims,Only 'NOT live trading' disclaimer in README and HTML
