check,status,detail
signal_panel_exists_or_regenerated,PASS,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/phase9b_signal_panel.parquet
all_3_signals_present,PASS,"['signal_v0_core_only', 'signal_v0_pm_full_structured', 'signal_v0_family_balanced_diagnostic']"
all_4_horizons_present,PASS,"['1h', '4h', '24h', '72h']"
no_shift_minus_h_used,PASS,Calendar join only
no_label_recomputation_in_backtest,PASS,Labels loaded from pre-computed parquet
no_weight_optimization,PASS,Equal-weight quantile legs only
no_costs_or_slippage,PASS,Phase 10A is diagnostic; no cost model
no_portfolio_optimization,PASS,Equal-weight long-short spread only
no_alpha_claim,PASS,All outputs are diagnostic
phase11_not_started,PASS,Phase 11 NOT STARTED
phase12_not_started,PASS,Phase 12 NOT STARTED
phase13_not_started,PASS,Phase 13 NOT STARTED
