factor_id,factor_family,diagnostic_tier,recommended_research_use,redundancy_status,review_flags,approved_status,decision_rationale,remaining_pre_phase9_checks
vol_5h,volatility,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,"Multi-factor signal design, portfolio construction, cost/slippage analysis"
vol_40h,volatility,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,"Multi-factor signal design, portfolio construction, cost/slippage analysis"
range_1h,range_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,"Multi-factor signal design, portfolio construction, cost/slippage analysis"
range_4h,range_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,"Multi-factor signal design, portfolio construction, cost/slippage analysis"
price_pos_24h,price_position,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,"Multi-factor signal design, portfolio construction, cost/slippage analysis"
xs_rank_vol,cross_sectional_normalized,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,"Multi-factor signal design, portfolio construction, cost/slippage analysis"
rsi_28h,technical_indicators,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,"Multi-factor signal design, portfolio construction, cost/slippage analysis"
rsi_7h,technical_indicators,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,REPRESENTATIVE_CANDIDATE,NONE,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,"Multi-factor signal design, portfolio construction, cost/slippage analysis"
downside_vol_20h,realized_skew_kurtosis,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,"Multi-factor signal design, portfolio construction, cost/slippage analysis"
vol_of_vol_20h,realized_skew_kurtosis,TIER_1_STABLE_DIAGNOSTIC,CORE_DIAGNOSTIC_CANDIDATE,NOT_IN_REDUNDANCY_GROUP,NONE,CANDIDATE_REVIEW,PM-approved for CANDIDATE_REVIEW per Phase 8A ready shortlist,"Multi-factor signal design, portfolio construction, cost/slippage analysis"
