factor_id,factor_family,candidate_formula_or_description,source,data_requirements,required_ops,current_ops_supported,implementation_complexity,leakage_risk,redundancy_risk_vs_batch1,turnover_risk,direction_clarity,expected_direction,batch2_decision,selection_score,decision_reason,proposed_next_status,notes
mom_80h,momentum,close/close_lag_80-1,theory,close,rolling_mean;rolling_std,YES,low,LOW,HIGH,LOW,CLEAR,positive,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
mom_accel_20h,momentum,mom_20h-mom_20h_lag_5,theory,close,delta;rolling_mean,YES,low,LOW,HIGH,LOW,CLEAR,positive,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
rev_48h,reversal,-(close/close_lag_48-1),theory,close,rolling_mean;rolling_std,YES,low,LOW,HIGH,LOW,CLEAR,negative,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
vol_ratio_10_40,volatility,"std(ret_1h, 10)/std(ret_1h, 40)",theory,close,rolling_mean;rolling_std;zscore,YES,low,MODERATE,HIGH,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
vol_ma_ratio_5_20,volume_liquidity,"SMA(vol, 5)/SMA(vol, 20)",theory,volume,rolling_mean;rolling_std;zscore,YES,low,LOW,HIGH,LOW,CLEAR,positive,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
qvol_ma_ratio_5_20,quote_volume_liquidity,"SMA(qv, 5)/SMA(qv, 20)",theory,quote_volume,rolling_mean;rolling_std;zscore,YES,low,LOW,HIGH,LOW,CLEAR,positive,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
ma_gap_20_80,trend_ma,(SMA20-SMA80)/SMA80,theory,close,rolling_mean;ema,YES,low,LOW,HIGH,LOW,CLEAR,positive,SELECT_NOW,10,"score=10, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=1 risk=3
xs_rank_range,cross_sectional_normalized,rank(range_24h) by timestamp,theory,high;low;close,cross_sectional_rank,NO,low,MODERATE,HIGH,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,8,"score=8, conditional direction",DEFERRED,data=3 ops=3 novelty=1 risk=1
ema_12_26_gap,technical_indicators,(EMA12-EMA26)/EMA26,theory,close,ema;rolling_mean,YES,low,LOW,LOW,LOW,CLEAR,positive,SELECT_NOW,12,"score=12, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=3 risk=3
rsi_7h,technical_indicators,"RSI(close, 7)",theory,close,rolling_mean;delta,YES,low,LOW,LOW,LOW,CLEAR,negative,SELECT_NOW,11,"score=11, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=3 risk=2
rsi_28h,technical_indicators,"RSI(close, 28)",theory,close,rolling_mean;delta,YES,low,LOW,LOW,LOW,CLEAR,negative,SELECT_NOW,12,"score=12, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=3 risk=3
stoch_k_14h,technical_indicators,(close-LL14)/(HH14-LL14+eps),theory,high;low;close,rolling_min;rolling_max,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,10,"score=10, conditional direction",DEFERRED,data=3 ops=3 novelty=3 risk=1
williams_r_14h,technical_indicators,(HH14-close)/(HH14-LL14+eps),theory,high;low;close,rolling_min;rolling_max,YES,low,LOW,LOW,LOW,CLEAR,negative,SELECT_NOW,11,"score=11, meets criteria",SELECTED_FOR_7I_IMPLEMENTATION,data=3 ops=3 novelty=3 risk=2
cci_20h,technical_indicators,(TP-SMA20)/(0.015*MAD20),theory,high;low;close,rolling_mean;rolling_std,YES,medium,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,10,"score=10, conditional direction",DEFERRED,data=3 ops=3 novelty=3 risk=1
adx_14h,technical_indicators,"SMA(DX, 14)",theory,high;low;close,rolling_mean;ema;true_range,YES,medium,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_DIRECTION_UNCLEAR,10,"score=10, conditional direction",DEFERRED,data=3 ops=3 novelty=3 risk=1
wq101_alpha01,wq101_expansion,sign(close-open)*volume,worldquant,open;close;volume,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_REDUNDANT,9,"score=9, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=1
wq101_alpha02,wq101_expansion,"corr(open, volume, 10)",worldquant,open;volume,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,negative,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha03,wq101_expansion,"-corr(open, volume, 10)*delta(open, 1)",worldquant,open;volume,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,negative,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha06,wq101_expansion,"-corr(open, volume, 10)*sign(delta(open, 1))",worldquant,open;volume,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,negative,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha08,wq101_expansion,"-rank(delta(open, 1)*(-1*(close/open-1)))",worldquant,open;close,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,LOW,LOW,LOW,CLEAR,positive,DEFER_REDUNDANT,10,"score=10, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=2
wq101_alpha09,wq101_expansion,"sign(delta(close, 1))*(-1*abs(close/open-1))",worldquant,open;close,rolling_mean;rolling_std;zscore;signed_power;ts_rank,YES,low,MODERATE,LOW,MODERATE,UNCLEAR,conditional,DEFER_REDUNDANT,9,"score=9, formulaic alpha needs stronger novelty signal",DEFERRED,data=3 ops=2 novelty=3 risk=1
