signal_id,horizon,mean_rankic,mean_spread,ic_spread_corr,n_timestamps,pct_ic_pos_spread_pos,pct_ic_pos_spread_neg,root_cause,signal_flipped,phase10a_regenerated
signal_v0_core_only,1h,0.018663,-0.000306,0.5142,3366,37.9,16.1,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_core_only,4h,0.016936,-0.001232,0.5389,3366,36.0,16.9,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_core_only,24h,-0.000564,-0.006742,0.5835,3354,32.4,18.2,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_core_only,72h,-0.025645,-0.016623,0.6136,3306,27.7,17.7,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_pm_full_structured,1h,0.018114,-0.000316,0.5133,3354,37.5,16.5,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_pm_full_structured,4h,0.016161,-0.001182,0.5371,3354,35.9,17.6,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_pm_full_structured,24h,-0.001288,-0.006594,0.5846,3342,32.0,18.3,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_pm_full_structured,72h,-0.032186,-0.016746,0.6164,3294,27.2,16.8,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_family_balanced_diagnostic,1h,0.01693,-0.000318,0.5193,3354,37.6,16.4,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_family_balanced_diagnostic,4h,0.014676,-0.001161,0.5279,3354,35.5,17.1,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_family_balanced_diagnostic,24h,-0.004388,-0.006617,0.5809,3342,32.1,17.6,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
signal_v0_family_balanced_diagnostic,72h,-0.029977,-0.016461,0.591,3294,27.8,16.3,non_monotonic_tail: bucket_0_lowest_signal_has_extreme_positive_returns,False,False
