factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
q158_roc_20h,alpha158_rolling_price,conditional,1h,0.02275797,0.02275797,0.15979522,0.15979522,0.14242,0.14242,0.14242,18.9937,0.5586,0.5586,17786,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",close,21,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",-2.787e-05,8.184e-05,-0.00010971,-2.6574,0.4935,0.00023567,-1.09766732,0.00081639,-0.0032792,0.32,25,per_bar_mean_x_bars_per_year
q158_roc_20h,alpha158_rolling_price,conditional,4h,0.0300299,0.0300299,0.16473251,0.16473251,0.182295,0.182295,0.182295,24.3102,0.575,0.575,17784,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",close,21,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",-0.0001672,0.0003322,-0.0004994,-6.0699,0.4867,0.00092299,-1.23083626,0.00319735,-0.01380316,0.28,25,per_bar_mean_x_bars_per_year
q158_roc_20h,alpha158_rolling_price,conditional,24h,0.0297449,0.0297449,0.16597842,0.16597842,0.179209,0.179209,0.179209,23.8853,0.577,0.577,17764,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",close,21,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",-0.00018308,0.00099084,-0.00117392,-5.6795,0.4879,0.00446476,-0.58336666,0.01546637,-0.03845488,0.44,25,per_bar_mean_x_bars_per_year
q158_roc_20h,alpha158_rolling_price,conditional,72h,0.01902452,0.01902452,0.15877085,0.15877085,0.119824,0.119824,0.119824,15.9487,0.5505,0.5505,17716,186.1,3310939,0.001604,False,DIRECTION_UNKNOWN,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",close,21,"Alpha158 ROC20: Ref(close,20) / close; 1h adaptation of 20-bar rate-of-change ratio",-0.00105943,0.00354531,-0.00460474,-12.1875,0.4769,0.01023285,-0.57355899,0.03544763,-0.11973818,0.36,25,per_bar_mean_x_bars_per_year
q158_ma_20h,alpha158_rolling_price,conditional,1h,0.03038003,0.03038003,0.16300049,0.16300049,0.18638,0.18638,0.18638,24.8571,0.5812,0.5812,17787,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MA20: Mean(close,20) / close; rolling average normalized by current close",close,20,"Alpha158 MA20: Mean(close,20) / close; rolling average normalized by current close",6.88e-06,6.126e-05,-5.438e-05,-1.2835,0.5011,0.00019009,-0.51604778,0.00065848,-0.00173295,0.36,25,per_bar_mean_x_bars_per_year
q158_ma_20h,alpha158_rolling_price,conditional,4h,0.03481529,0.03481529,0.16576854,0.16576854,0.210023,0.210023,0.210023,28.0088,0.5906,0.5906,17785,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MA20: Mean(close,20) / close; rolling average normalized by current close",close,20,"Alpha158 MA20: Mean(close,20) / close; rolling average normalized by current close",-7.349e-05,0.00027785,-0.00035134,-4.1866,0.4927,0.00068228,-0.80082364,0.0023635,-0.00914071,0.28,25,per_bar_mean_x_bars_per_year
q158_ma_20h,alpha158_rolling_price,conditional,24h,0.02993442,0.02993442,0.16835726,0.16835726,0.177803,0.177803,0.177803,23.6985,0.5755,0.5755,17765,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MA20: Mean(close,20) / close; rolling average normalized by current close",close,20,"Alpha158 MA20: Mean(close,20) / close; rolling average normalized by current close",-0.0001711,0.00102147,-0.00119258,-5.7684,0.4923,0.00372365,-0.5642591,0.0128991,-0.03685541,0.32,25,per_bar_mean_x_bars_per_year
q158_ma_20h,alpha158_rolling_price,conditional,72h,0.01545961,0.01545961,0.15844688,0.15844688,0.09757,0.09757,0.09757,12.987,0.5372,0.5372,17717,186.1,3311205,0.001524,False,DIRECTION_UNKNOWN,"Alpha158 MA20: Mean(close,20) / close; rolling average normalized by current close",close,20,"Alpha158 MA20: Mean(close,20) / close; rolling average normalized by current close",-0.00086024,0.00332294,-0.00418317,-11.1272,0.4746,0.00887401,-0.52381367,0.03074049,-0.10574498,0.36,25,per_bar_mean_x_bars_per_year
q158_std_20h,alpha158_rolling_price,negative,1h,-0.02913147,0.02913147,0.18874904,0.18874904,-0.15434,0.15434,-0.15434,-20.584,0.4257,0.5743,17787,186.1,3311205,0.001524,False,COMPUTED,"Alpha158 STD20: Std(close,20) / close; rolling close dispersion normalized by current close",close,20,"Alpha158 STD20: Std(close,20) / close; rolling close dispersion normalized by current close",-1.531e-05,5.705e-05,-7.236e-05,-1.6484,0.5011,0.00028799,-0.69971061,0.00099761,-0.00349308,0.48,25,per_bar_mean_x_bars_per_year
q158_std_20h,alpha158_rolling_price,negative,4h,-0.04242109,0.04242109,0.188924,0.188924,-0.22454,0.22454,-0.22454,-29.9448,0.4001,0.5999,17785,186.1,3311205,0.001524,False,COMPUTED,"Alpha158 STD20: Std(close,20) / close; rolling close dispersion normalized by current close",close,20,"Alpha158 STD20: Std(close,20) / close; rolling close dispersion normalized by current close",-6.408e-05,0.00021429,-0.00027837,-3.1674,0.501,0.00107348,-0.66571568,0.00371864,-0.0131082,0.4,25,per_bar_mean_x_bars_per_year
q158_std_20h,alpha158_rolling_price,negative,24h,-0.06830648,0.06830648,0.19248746,0.19248746,-0.354862,0.354862,-0.354862,-47.2979,0.3383,0.6617,17765,186.1,3311205,0.001524,False,COMPUTED,"Alpha158 STD20: Std(close,20) / close; rolling close dispersion normalized by current close",close,20,"Alpha158 STD20: Std(close,20) / close; rolling close dispersion normalized by current close",-0.00053989,0.00133641,-0.0018763,-8.2667,0.5086,0.00573901,-0.68692692,0.0198805,-0.06521158,0.44,25,per_bar_mean_x_bars_per_year
