factor_name,category,expected_direction,formula_proxy,notes,used_in_current_signal,status
mom_20h,momentum,positive,close / close_20h_ago - 1,close / close_20h_ago - 1,False,COMPUTED
reversal_5h,momentum,positive,-(close / close_5h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.,-(close / close_5h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.,False,COMPUTED
volatility_20h,volatility,negative,"rolling std of returns, 20 bars","rolling std of returns, 20 bars",False,COMPUTED
rsi_14h,technical,negative,Wilder RSI 14,Wilder RSI 14,False,COMPUTED
bb_zscore_20h,technical,negative,(close - mean20) / std20,(close - mean20) / std20,False,COMPUTED
wq101_alpha101,wq101,conditional,(close - open) / (high - low + eps); direction intentionally set to conditional to avoid post-hoc fitting,(close - open) / (high - low + eps); direction intentionally set to conditional to avoid post-hoc fitting,False,DIAGNOSTIC_ONLY
wq101_alpha12,wq101,conditional,sign(dvol) * (-dclose); lookback=2 because delta(1) needs t and t-1,sign(dvol) * (-dclose); lookback=2 because delta(1) needs t and t-1,False,DIAGNOSTIC_ONLY
wq101_alpha53,wq101,conditional,"-delta(intraday_position, 9); lookback=10 because diff(9) needs t and t-9","-delta(intraday_position, 9); lookback=10 because diff(9) needs t and t-9",False,DIAGNOSTIC_ONLY
q158_high_low_range,alpha158,conditional,(high - low) / close,(high - low) / close,False,DIAGNOSTIC_ONLY
vwap_dev_20h,alpha158_ohlcv,conditional,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)","(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)",False,DIAGNOSTIC_ONLY
wvma_20h,alpha158_ohlcv,negative,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility","rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility",False,COMPUTED
vol_ret_corr_20h,alpha158_ohlcv,conditional,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation","rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation",False,DIAGNOSTIC_ONLY
intraday_ret,alpha158_ohlcv,conditional,(close - open) / open; 1h bar open-to-close return,(close - open) / open; 1h bar open-to-close return,False,DIAGNOSTIC_ONLY
klow_close,alpha158_ohlcv,positive,"(min(open,close) - low) / close; lower wick as fraction of close","(min(open,close) - low) / close; lower wick as fraction of close",False,COMPUTED
ksft_5h,alpha158_ohlcv,conditional,"rolling_skewness(ret_1h, 5); short-window return skewness","rolling_skewness(ret_1h, 5); short-window return skewness",False,DIAGNOSTIC_ONLY
tech_macd,technical,positive,MACD histogram (EMA12-EMA26 signal),MACD histogram (EMA12-EMA26 signal),False,COMPUTED
tech_atr,technical,conditional,Average True Range 14 bars,Average True Range 14 bars,False,DIAGNOSTIC_ONLY
mom_5h,momentum,positive,close / close_5h_ago - 1,close / close_5h_ago - 1,False,COMPUTED
mom_10h,momentum,positive,close / close_10h_ago - 1,close / close_10h_ago - 1,False,COMPUTED
mom_40h,momentum,positive,close / close_40h_ago - 1,close / close_40h_ago - 1,False,COMPUTED
rev_3h,reversal,positive,-(close / close_3h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.,-(close / close_3h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.,False,COMPUTED
rev_10h,reversal,positive,-(close / close_10h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.,-(close / close_10h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.,False,COMPUTED
rev_24h,reversal,positive,-(close / close_24h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.,-(close / close_24h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.,False,COMPUTED
vol_5h,volatility,negative,"rolling std of 1h returns, 5 bars (lookback=6: pct_change needs t-1)","rolling std of 1h returns, 5 bars (lookback=6: pct_change needs t-1)",True,ACTIVE_IN_SIGNAL
vol_40h,volatility,negative,"rolling std of 1h returns, 40 bars (lookback=41)","rolling std of 1h returns, 40 bars (lookback=41)",True,ACTIVE_IN_SIGNAL
vol_ratio_5_20,volatility,conditional,"std(ret,5) / std(ret,20)","std(ret,5) / std(ret,20)",False,DIAGNOSTIC_ONLY
range_1h,range_position,conditional,(high - low) / close,(high - low) / close,True,ACTIVE_IN_SIGNAL
range_4h,range_position,conditional,(HH4 - LL4) / close,(HH4 - LL4) / close,True,ACTIVE_IN_SIGNAL
range_24h,range_position,conditional,(HH24 - LL24) / close,(HH24 - LL24) / close,False,DIAGNOSTIC_ONLY
price_pos_24h,price_position,conditional,(close - LL24) / (HH24 - LL24 + eps),(close - LL24) / (HH24 - LL24 + eps),True,ACTIVE_IN_SIGNAL
price_pos_72h,price_position,conditional,(close - LL72) / (HH72 - LL72 + eps),(close - LL72) / (HH72 - LL72 + eps),False,DIAGNOSTIC_ONLY
vol_zscore_20h,volume_liquidity,positive,(volume - SMA20) / STD20,(volume - SMA20) / STD20,False,COMPUTED
vol_zscore_48h,volume_liquidity,positive,(volume - SMA48) / STD48,(volume - SMA48) / STD48,False,COMPUTED
qvol_zscore_20h,quote_volume_liquidity,positive,(quote_volume - SMA20) / STD20,(quote_volume - SMA20) / STD20,False,COMPUTED
qvol_zscore_48h,quote_volume_liquidity,positive,(quote_volume - SMA48) / STD48,(quote_volume - SMA48) / STD48,False,COMPUTED
ma_gap_5_20,trend_ma,positive,(SMA5 - SMA20) / SMA20,(SMA5 - SMA20) / SMA20,False,COMPUTED
ma_gap_10_40,trend_ma,positive,(SMA10 - SMA40) / SMA40,(SMA10 - SMA40) / SMA40,False,COMPUTED
breakout_dist_20h,breakout,positive,(close - HH20) / (HH20 - LL20 + eps),(close - HH20) / (HH20 - LL20 + eps),False,COMPUTED
breakout_dist_48h,breakout,positive,(close - HH48) / (HH48 - LL48 + eps),(close - HH48) / (HH48 - LL48 + eps),False,COMPUTED
candle_body,intraday_candle,conditional,(close - open) / (high - low + eps),(close - open) / (high - low + eps),False,DIAGNOSTIC_ONLY
candle_wick_upper,intraday_candle,negative,"(high - max(open, close)) / (high - low + eps)","(high - max(open, close)) / (high - low + eps)",False,COMPUTED
candle_wick_lower,intraday_candle,positive,"(min(open, close) - low) / (high - low + eps)","(min(open, close) - low) / (high - low + eps)",False,COMPUTED
xs_rank_ret_1h,cross_sectional_normalized,conditional,Per-symbol 1h return; cross-sectional rank applied by caller,Per-symbol 1h return; cross-sectional rank applied by caller,False,DIAGNOSTIC_ONLY
xs_rank_vol,cross_sectional_normalized,conditional,Per-symbol 20h rolling mean volume; cross-sectional rank applied by caller,Per-symbol 20h rolling mean volume; cross-sectional rank applied by caller,True,ACTIVE_IN_SIGNAL
ema_12_26_gap,technical_indicators,positive,(EMA12 - EMA26) / EMA26,(EMA12 - EMA26) / EMA26,False,COMPUTED
rsi_7h,technical_indicators,negative,"Wilder RSI lookback=7, 0-100 scale; lookback_window=8 for diff(1)+ewm(7)","Wilder RSI lookback=7, 0-100 scale; lookback_window=8 for diff(1)+ewm(7)",True,ACTIVE_IN_SIGNAL
rsi_28h,technical_indicators,negative,"Wilder RSI lookback=28, 0-100 scale; lookback_window=29 for diff(1)+ewm(28)","Wilder RSI lookback=28, 0-100 scale; lookback_window=29 for diff(1)+ewm(28)",True,ACTIVE_IN_SIGNAL
williams_r_14h,technical_indicators,negative,"(HH14 - close) / (HH14 - LL14 + eps), 0-1 scale","(HH14 - close) / (HH14 - LL14 + eps), 0-1 scale",False,COMPUTED
downside_vol_20h,realized_skew_kurtosis,negative,"rolling_std(min(ret_1h, 0), 20); lookback=21 for pct_change+std(20)","rolling_std(min(ret_1h, 0), 20); lookback=21 for pct_change+std(20)",True,ACTIVE_IN_SIGNAL
vol_of_vol_20h,realized_skew_kurtosis,negative,"rolling_std(rolling_std(ret, 5), 20); lookback=26 for pct_change+std(5)+std(20)","rolling_std(rolling_std(ret, 5), 20); lookback=26 for pct_change+std(5)+std(20)",True,ACTIVE_IN_SIGNAL
mom_accel_20h,momentum,positive,"mom_20h - delay(mom_20h, 5); lookback=25 for lag(20)+delay(5)","mom_20h - delay(mom_20h, 5); lookback=25 for lag(20)+delay(5)",False,COMPUTED
qvol_ma_ratio_5_20,quote_volume_liquidity,positive,"SMA(quote_volume, 5) / SMA(quote_volume, 20) - 1","SMA(quote_volume, 5) / SMA(quote_volume, 20) - 1",False,COMPUTED
ma_gap_20_80,trend_ma,positive,(SMA20 - SMA80) / SMA80,(SMA20 - SMA80) / SMA80,False,COMPUTED
taker_buy_ratio_20h,taker_imbalance,positive,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.","rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",False,COMPUTED
taker_buy_zscore_20h,taker_imbalance,positive,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.","zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",False,COMPUTED
taker_buy_delta_5h,taker_imbalance,positive,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache.","ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache.",False,COMPUTED
funding_rate_level_20h,funding_rate,negative,"rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache.","rolling_mean(funding_rate, 20); high funding = crowded long, mean-revert; Requires Phase 7L-R canonical crypto-native cache.",False,COMPUTED
funding_rate_zscore_80h,funding_rate,negative,"zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache.","zscore(funding_rate, 80); Requires Phase 7L-R canonical crypto-native cache.",False,COMPUTED
funding_rate_change_24h,funding_rate,negative,"funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache.","funding_rate - delay(funding_rate, 24); fast rise = crowded, expect reversal; Requires Phase 7L-R canonical crypto-native cache.",False,COMPUTED
